Palau-sator;0;600;0;600;0;3271
Riner;0;489;0;489;0;1784
el Prat de Llobregat;204;10675;0;10675;204;69160
Sant Esteve de Palautordera;439;334;0;334;439;16212
Verdú;0;695;0;695;0;6527
Vilafant;351;1243;0;1243;351;29059
Regencós;339;109;0;109;339;2179
Massanes;68;206;0;206;68;10647
Sant Miquel de Campmajor;0;776;0;776;0;1101
Fígols i Alinyà;0;580;0;580;0;3438
Olesa de Bonesvalls;0;398;0;398;0;26062
Navàs;0;1339;0;1339;0;22058
Gavà;151;2892;0;2892;151;72576
Lleida;2611;11577;38;11577;2649;229289
Vilaür;0;327;0;327;0;1995
Banyoles;0;4985;254;4985;254;65136
Campelles;0;135;0;135;0;2048
el Brull;42;742;0;742;42;1106
Garrigoles;0;228;0;228;0;2194
Vespella de Gaià;27;123;0;123;27;8042
Riu de Cerdanya;0;213;0;213;0;1426
Naut Aran;88;3620;496;3620;584;24583
Torrent;0;346;0;346;0;2566
Montagut i Oix;147;1301;90;1301;237;5469
Preixana;1019;220;0;220;1019;4018
Das;0;266;0;266;0;7313
Torrelavit;0;431;0;431;0;6284
Santa Bàrbara;0;987;0;987;0;33320
Capellades;0;251;0;251;0;15116
Alpens;0;158;693;158;693;3798
Sant Pere de Torelló;0;1144;0;1144;0;13004
Alfarràs;0;1215;0;1215;0;11515
Solsona;273;2775;0;2775;273;33804
Nalec;316;143;0;143;316;1762
Tordera;322;2384;131;2384;453;97901
Cubelles;0;1380;0;1380;0;75283
Lluçà;0;379;0;379;0;1057
Pontons;0;420;0;420;0;6911
Vilanova i la Geltrú;0;33690;121;33690;121;150115
Santa Oliva;0;487;0;487;0;24128
Matadepera;71;2500;0;2500;71;88135
Granollers;4792;9074;0;9074;4792;95392
Sant Quirze del Vallès;1745;1973;266;1973;2011;91046
Alella;243;720;0;720;243;55531
Salomó;0;161;0;161;0;4753
Sant Feliu de Guíxols;397;10664;325;10664;723;87771
Fontanals de Cerdanya;0;596;150;596;150;14184
Salt;0;1355;0;1355;0;30872
Valls;2770;1659;0;1659;2770;84813
Montferri;0;213;0;213;0;3141
Vilabertran;0;165;0;165;0;2777
Sant Ferriol;0;703;94;703;94;286
la Pobla de Massaluca;397;162;0;162;397;2449
Castell-Platja d'Aro;227;6391;306;6391;532;109669
Torroja del Priorat;574;104;0;104;574;2134
Planoles;0;298;0;298;0;5500
Talarn;0;809;0;809;0;7093
Montoliu de Lleida;369;117;0;117;369;4935
Vilaplana;0;489;0;489;0;2305
Susqueda;0;362;0;362;0;225
Clariana de Cardener;0;460;0;460;0;293
la Morera de Montsant;0;767;0;767;0;2110
Montferrer i Castellbò;0;1217;0;1217;0;18053
Sant Esteve de la Sarga;0;709;0;709;0;2846
Santa Coloma de Farners;329;3535;0;3535;329;53455
Prat de Comte;0;151;0;151;0;1941
Tavèrnoles;0;278;0;278;0;4427
l'Albiol;988;215;0;215;988;6189
Granera;0;514;0;514;0;1465
Solivella;0;1097;0;1097;0;4601
Jafre;15;125;0;125;15;3746
Santa Pau;0;1663;77;1663;77;6861
el Bruc;0;1166;0;1166;0;21271
Pinell de Solsonès;55;605;0;605;55;472
Sant Boi de Lluçanès;136;261;1177;261;1313;6642
Aiguamúrcia;1242;723;66;723;1308;17202
Seva;970;937;0;937;970;54585
Santa Maria de Merlès;0;616;0;616;0;159
Font-rubí;0;558;0;558;0;8351
Caldes de Malavella;601;1477;0;1477;601;74500
Crespià;0;243;30;243;30;2589
Vidreres;528;794;0;794;528;71964
