Lezo;5371;1237;48;1237;5419;17180
Barrundia;0;3161;0;3161;0;22337
Gipuzkoa eta Arabako Partzuergo Orokorra;0;466;0;466;0;0
Ibarra;2371;628;0;628;2371;5476
Ibarrangelu;435;864;0;864;435;1471
Itsasondo;0;461;0;461;0;985
Basauri;7433;1766;66;1766;7499;42260
Leza;0;347;0;347;0;3597
Sestao;800;1774;264;1774;1064;21671
Lekeitio;5161;793;176;793;5338;12642
Arraia-Maeztu;0;3112;0;3112;0;16553
Bidania-Goiatz;550;402;0;402;550;1872
Zizurkil;2142;796;174;796;2316;2804
Altzaga;0;193;0;193;0;0
Leioa;9299;3149;373;3149;9672;43740
Kortezubi;300;733;285;733;585;585
San Millán/Donemiliaga;0;2530;0;2530;0;22881
Zegama;234;1487;98;1487;332;3289
Peñacerrada-Urizaharra;0;1148;0;1148;0;7619
Zarautz;5987;2913;0;2913;5987;29362
Aulesti;1064;538;0;538;1064;1822
Mendexa;171;267;0;267;171;782
Gatika;282;1157;0;1157;282;3363
Arakaldo;0;217;0;217;0;3472
Deba;2821;1733;0;1733;2821;8266
Arratzua-Ubarrundia;0;2422;0;2422;0;14357
Gamiz-Fika;2804;1378;0;1378;2804;4537
Erandio;6755;3012;464;3012;7219;32240
Zigoitia;0;5198;0;5198;0;32085
Olaberria;796;600;0;600;796;1613
Andoain;4302;2578;734;2578;5036;17809
Baliarrain;364;100;0;100;364;550
Berriz;8688;1143;0;1143;8688;11740
Valle de Arana/Harana;0;773;0;773;0;6090
Ereño;217;357;0;357;217;217
Irun;12310;9240;1073;9240;13382;75436
Iruña Oka/Iruña de Oca;0;3512;0;3512;0;34659
Laguardia;0;2164;0;2164;0;13339
Hondarribia/Fontarrabie;8123;4344;622;4344;8745;35830
Azkoitia;5306;2460;72;2460;5379;16889
Lizartza;840;204;0;204;840;1320
Laukiz;3348;990;109;990;3456;4658
Samaniego;57;301;0;301;57;5236
Urduña / Orduña;12333;1266;1270;1266;13603;17088
Villabuena de Álava/Eskuernaga;0;319;0;319;0;3601
Ormaiztegi;203;499;0;499;203;1181
Gordexola;235;413;443;413;679;9769
Larraul;0;253;33;253;33;829
Bergara;4510;2281;0;2281;4510;22020
Bermeo;3887;3677;583;3677;4470;19119
Aia;2110;1870;161;1870;2271;5263
Lantarón;0;1773;0;1773;0;19684
Mañaria;196;499;177;499;374;1324
Okondo;0;1139;0;1139;0;2532
Munitibar-Arbatzegi Gerrikaitz;805;572;324;572;1129;1887
Zaldibia;0;902;0;902;0;1359
Gaztelu;0;219;0;219;0;0
Garai;542;269;0;269;542;542
Mutriku;1514;1527;48;1527;1562;8692
Beasain;2960;1315;0;1315;2960;16386
Ordizia;1223;696;0;696;1223;13479
Igorre;1631;1524;0;1524;1631;8671
Labastida/Bastida;0;1526;0;1526;0;16035
Sondika;4470;1379;0;1379;4470;17639
Campezo/Kanpezu;0;1857;0;1857;0;11864
Oyón/Oion;428;1285;0;1285;428;15162
Pasaia;2268;1167;531;1167;2800;13269
Ubide;2601;207;48;207;2649;2649
Errenteria;7342;3837;85;3837;7427;36139
Gorliz;5672;1871;0;1871;5672;18486
Ataun;63;1386;236;1386;299;915
Enirio-Aralarko Mankomunitatea;0;1476;0;1476;0;0
Portugalete;1786;2751;279;2751;2065;35691
Elgoibar;4694;2178;0;2178;4694;18142
