Palas de Rei;47928;2086;287;2086;48215;51199
O Vicedo;2087;1543;0;1543;2087;5027
Redondela;105861;3960;552;3960;106412;143202
Pontecesures;13711;223;131;223;13842;19224
Dumbría;21111;1114;1109;1114;22220;22220
Mondariz;72686;2655;14052;2655;86738;89689
Vilanova de Arousa;45488;1022;4724;1022;50212;65660
Guntín;28543;581;359;581;28902;30183
O Barco de Valdeorras;1591;7466;371;7466;1962;60993
Monterrei;29766;584;0;584;29766;32723
Santiago de Compostela;29480;21093;3730;21093;33211;269851
O Páramo;20001;436;122;436;20123;20123
Negueira de Muñiz;4606;109;0;109;4606;4606
O Grove;33709;1599;676;1599;34384;50649
O Porriño;55345;7627;2605;7627;57950;81460
A Mezquita;11950;722;221;722;12171;16391
Frades;5149;3208;79;3208;5228;21258
Vilamarín;24178;423;517;423;24695;25015
San Xoán de Río;16591;333;0;333;16591;16942
Barro;29559;678;113;678;29671;29775
Baltar;17026;483;0;483;17026;19150
Sada;27454;8533;4549;8533;32003;72616
Boimorto;7523;689;0;689;7523;7523
O Incio;36005;705;0;705;36005;36862
Castroverde;52442;929;0;929;52442;54335
Paradela;31104;656;84;656;31188;32102
Begonte;19033;1005;89;1005;19122;21275
Irixoa;5641;1476;568;1476;6209;6671
A Guarda;18522;2207;1168;2207;19690;50738
A Gudiña;14063;1039;0;1039;14063;20318
A Teixeira;4996;153;0;153;4996;8361
Fisterra;13846;1519;6802;1519;20648;28806
Entrimo;19388;387;0;387;19388;19449
Vilar de Barrio;19725;431;305;431;20030;22845
Alfoz;14949;674;905;674;15854;15854
Oroso;11587;1732;481;1732;12068;21296
Ribas de Sil;14367;488;616;488;14983;16295
Laza;28334;790;653;790;28988;32858
Trazo;8497;1098;433;1098;8930;9758
Riós;35013;802;39;802;35052;35052
Bande;28766;579;0;579;28766;30128
Pol;40993;1197;29;1197;41022;41816
Montederramo;18164;660;232;660;18396;19152
Triacastela;12477;305;0;305;12477;13570
Viveiro;976;8032;11;8032;986;16175
As Pontes de García Rodríguez;15059;4044;170;4044;15229;44443
Coles;36181;594;0;594;36181;36425
A Peroxa;31146;898;2859;898;34005;34005
Corcubión;4768;326;514;326;5283;7847
A Pobra do Brollón;32430;839;0;839;32430;34084
Toques;12325;458;0;458;12325;12325
Beade;3072;54;0;54;3072;5692
Piñor;17496;474;0;474;17496;17496
Carballo;66010;3313;998;3313;67009;122203
Vigo;107781;16979;27196;16979;134977;558546
Carballedo;48824;843;0;843;48824;48824
A Pobra de Trives;19101;626;608;626;19709;34012
Gondomar;43103;1483;12968;1483;56071;59706
Cangas;41375;2626;20761;2626;62136;106685
Sarria;70358;2845;125;2845;70483;94467
Cerceda;2931;2799;194;2799;3125;16949
Valga;29597;737;0;737;29597;32891
