La Unión;17987;1740;108;1740;18094;76783
Ricote;535;312;0;312;535;7372
Librilla;6325;1380;0;1380;6325;24915
Cartagena;159501;39060;4172;39060;163673;760845
Blanca;758;636;73;636;831;14827
Cehegín;35433;7112;733;7112;36166;87967
Las Torres de Cotillas;22146;1734;579;1734;22725;124679
Puerto Lumbreras;5911;1820;155;1820;6065;57340
Totana;27877;2936;90;2936;27967;97077
Beniel;4984;690;0;690;4984;28973
Abarán;8491;780;0;780;8491;32067
Molina de Segura;119816;4356;418;4356;120235;369484
Alcantarilla;14273;1627;151;1627;14424;82449
Mula;11863;1553;186;1553;12049;61423
Yecla;51181;3539;790;3539;51971;106943
Ceutí;2223;1112;24;1112;2247;62260
Santomera;20820;1396;0;1396;20820;61566
Albudeite;764;278;127;278;891;9645
Los Alcázares;841;2344;64;2344;904;145109
Abanilla;22004;1374;38;1374;22042;51033
Fuente Álamo de Murcia;104221;2608;0;2608;104221;156457
Fortuna;32401;1407;0;1407;32401;72750
Ojós;228;629;0;629;228;2878
Caravaca de la Cruz;52880;2455;8;2455;52888;79434
Águilas;57554;4323;0;4323;57554;141852
Murcia;613766;41535;5443;41535;619209;1484301
Torre Pacheco;30873;18004;298;18004;31171;283884
Alhama de Murcia;15698;2930;399;2930;16096;126120
Mazarrón;61313;3885;335;3885;61648;227852
Alguazas;8528;559;0;559;8528;29510
Pliego;1374;519;0;519;1374;20565
Bullas;12785;750;151;750;12936;71164
San Javier;32414;7441;810;7441;33224;196165
Jumilla;18732;2934;979;2934;19711;65267
Campos del Río;564;249;0;249;564;13789
Villanueva del Río Segura;1772;268;0;268;1772;13679
Lorca;69171;19263;977;19263;70148;213580
Lorquí;15671;1129;201;1129;15872;70253
San Pedro del Pinatar;19999;2252;883;2252;20882;145751
Ulea;365;333;0;333;365;4668
Calasparra;21616;1139;100;1139;21716;63936
Moratalla;24554;6588;116;6588;24670;45083
Cieza;6610;1724;428;1724;7038;64447
Archena;6471;1132;2016;1132;8487;69349
Aledo;2363;312;0;312;2363;7895
