Paradas;25620;274;0;274;25620;30596
Iznatoraf;830;210;0;210;830;5884
Balanegra;470;126;0;126;470;11591
Castilléjar;0;405;0;405;0;32472
Vélez-Blanco;2434;1429;0;1429;2434;17129
Uleila del Campo;404;209;0;209;404;7409
La Lantejuela;2118;175;0;175;2118;21869
Gérgal;8591;925;0;925;8591;25298
Isla Mayor;5940;492;0;492;5940;29176
Cogollos de la Vega;0;550;0;550;0;11605
Jódar;9761;459;0;459;9761;38544
Alameda;3710;244;0;244;3710;22230
Antas;9389;760;0;760;9389;23502
Marmolejo;3498;926;0;926;3498;27915
Alicún;0;67;0;67;0;1563
Dúdar;0;74;0;74;0;5242
La Mojonera;1596;603;0;603;1596;33855
Villardompardo;38;91;0;91;38;4575
Turón;0;145;0;145;0;4963
Víznar;20;283;0;283;20;6755
Urrácal;80;37;0;37;80;2461
Monda;16331;835;0;835;16331;25652
Dos Hermanas;60070;6546;7686;6546;67756;300939
Lecrín;31;695;0;695;31;15106
Casariche;11192;484;0;484;11192;38541
Hinojosa del Duque;3668;942;0;942;3668;32235
Benamejí;1225;233;0;233;1225;16549
Iznalloz;0;1075;0;1075;0;29598
Coripe;765;217;0;217;765;7549
Huétor Vega;9;659;49;659;58;52689
El Pedroso;8801;251;58;251;8859;11636
Puerto Serrano;352;452;0;452;352;29290
Fuente Carreteros;3145;11;0;11;3145;3145
Maracena;0;1116;112;1116;112;42665
Cambil;2008;512;533;512;2541;11199
Cortes de Baza;96;814;0;814;96;40157
Frigiliana;3846;1596;0;1596;3846;14441
Valdelarco;724;76;95;76;819;3131
Villaluenga del Rosario;0;385;3768;385;3768;3768
Rincón de la Victoria;1862;5559;0;5559;1862;129149
Santa Olalla del Cala;1711;334;98;334;1809;12561
Huércal de Almería;3062;2463;158;2463;3220;69402
Quéntar;0;283;0;283;0;8302
San Juan del Puerto;6548;1542;0;1542;6548;25208
La Victoria;1113;149;0;149;1113;14407
Serón;3034;511;0;511;3034;15108
Soportújar;0;123;0;123;0;1654
Berrocal;2641;101;0;101;2641;2641
Montellano;16040;329;0;329;16040;35038
Atarfe;0;17815;0;17815;0;87997
Villafranca de Córdoba;5301;354;0;354;5301;19373
Luque;3580;400;0;400;3580;13039
Arjona;641;1495;0;1495;641;20277
Santa Fe de Mondújar;176;223;0;223;176;2543
Cañaveral de León;887;53;0;53;887;2780
Jérez del Marquesado;0;604;0;604;0;11080
Archidona;4104;1203;0;1203;4104;38622
Los Barrios;46174;2998;0;2998;46174;79141
Agrón;0;88;0;88;0;3953
Marinaleda;8549;182;0;182;8549;13537
Almodóvar del Río;28622;675;0;675;28622;48063
Calicasas;0;90;0;90;0;2532
El Ronquillo;2942;289;0;289;2942;11841
Conquista;1100;101;0;101;1100;3348
Benizalón;0;96;0;96;0;2323
Polopos;0;351;0;351;0;10489
Higuera de Calatrava;1103;77;0;77;1103;5192
Cantillana;2187;596;0;596;2187;39872
Benalmádena;19514;3441;4279;3441;23793;201353
Benalauría;2591;101;0;101;2591;2857
La Rambla;1638;437;0;437;1638;26416
Espeluy;499;97;0;97;499;6022
San Fernando;35689;6293;287;6293;35976;112480
Torre-Cardela;0;110;0;110;0;8640
