Llanera;24185;3152;0;3152;24185;51723
Valdés;109402;3823;1073;3823;110475;129241
Morcín;7664;765;1614;765;9277;9870
Cangas de Onís;18694;3567;356;3567;19050;22721
Ribera de Arriba;5235;795;117;795;5352;5352
Santo Adriano;2375;761;1233;761;3608;4659
Siero;42284;12286;1343;12286;43627;91996
Ribadesella;24196;3199;46;3199;24242;39801
Yernes y Tameza;3436;729;0;729;3436;3436
Candamo;3605;448;0;448;3605;3605
Illas;771;380;833;380;1604;2340
Santa Eulalia de Oscos;10981;406;0;406;10981;11506
Piloña;25376;9957;939;9957;26314;32162
Cangas del Narcea;134265;3383;1728;3383;135994;145541
Mieres;45490;5003;305;5003;45795;71491
Ponga;7764;1686;514;1686;8278;12968
Navia;52963;2308;0;2308;52963;60589
Sobrescobio;12063;1129;0;1129;12063;12085
Lena;44444;5813;3322;5813;47765;58856
Quirós;28734;4934;204;4934;28938;28938
Bimenes;5443;4345;0;4345;5443;5443
Tineo;93204;2254;117;2254;93321;97038
Peñamellera Alta;9114;2156;0;2156;9114;9394
Pravia;13780;1028;0;1028;13780;20906
Degaña;8869;250;0;250;8869;8869
Cabrales;43;8749;59;8749;102;4734
Villaviciosa;28905;3982;0;3982;28905;44995
Pesoz;5476;193;164;193;5640;5640
Llangréu/Langreo;27198;14082;294;14082;27492;95252
Teverga;29235;874;1069;874;30304;30987
Cabranes;7159;500;628;500;7787;7787
Vegadeo;26265;1327;3935;1327;30199;35048
Coaña;26633;1068;0;1068;26633;27355
Taramundi;14184;2138;423;2138;14607;16384
Corvera de Asturias;15900;1956;0;1956;15900;38481
Castrillón;44523;3352;378;3352;44901;82066
Nava;20731;930;408;930;21138;27689
Ibias;38634;1323;333;1323;38966;38966
Salas;25413;1920;2042;1920;27455;36442
Soto del Barco;15638;717;0;717;15638;25412
San Tirso de Abres;9318;558;0;558;9318;9715
Caso;21490;3076;578;3076;22068;25479
Riosa;4811;478;953;478;5764;7749
Colunga;28940;4735;540;4735;29481;42429
Sariego;7113;523;0;523;7113;8720
Villayón;17150;485;619;485;17769;17769
Ribadedeva;9123;744;431;744;9554;10184
Amieva;7480;684;1547;684;9028;9028
Somiedo;33515;2215;366;2215;33880;35193
Parres;8876;1146;504;1146;9379;15353
Onís;7220;2442;0;2442;7220;7220
Carreño;11360;2120;140;2120;11499;28838
Grandas de Salime;20533;728;0;728;20533;23420
Castropol;36803;1631;0;1631;36803;47603
Proaza;16195;821;140;821;16335;17003
Aller;22468;4273;1080;4273;23548;33131
Boal;12428;1421;0;1421;12428;14446
Grau/Grado;28507;2350;366;2350;28872;40734
San Martín de Oscos;12380;277;0;277;12380;12380
Illano;16712;638;1076;638;17787;17787
El Franco;11291;824;0;824;11291;18575
Villanueva de Oscos;7132;478;0;478;7132;7132
Las Regueras;6011;683;0;683;6011;6011
Peñamellera Baja;10238;843;0;843;10238;11478
Samartín del Rei Aurelio;23064;2369;192;2369;23256;42809
Noreña;1151;1313;172;1313;1323;17669
Belmonte de Miranda;12228;886;1326;886;13554;15527
Allande;41014;1449;34;1449;41048;42497
Laviana;25102;2724;987;2724;26088;35718
Muros de Nalón;6563;1522;0;1522;6563;15591
Avilés;28494;6175;2246;6175;30741;105415
Oviedo;76695;25172;3102;25172;79798;240914
Caravia;84;914;0;914;84;7975
