Sant Llorenç des Cardassar;5374;3598;99;3598;5473;61884
Sencelles;482;514;0;514;482;6935
Binissalem;1017;660;0;660;1017;22606
Llubí;5797;451;0;451;5797;14276
Alaior;2139;11610;0;11610;2139;50577
Esporles;8710;1553;0;1553;8710;35971
Algaida;3307;1667;409;1667;3716;23510
Artà;3304;2324;0;2324;3304;47904
Deià;889;1283;0;1283;889;5306
Andratx;6407;5827;0;5827;6407;85377
Santa Eulària des Riu;184605;7508;214;7508;184819;335894
Sóller;3515;7952;0;7952;3515;42948
Mancor de la Vall;787;271;0;271;787;5958
Llucmajor;11727;7948;97;7948;11824;157835
Santa Eugènia;2749;383;0;383;2749;6902
Lloret de Vistalegre;612;230;0;230;612;4147
Maó;13338;27077;466;27077;13804;92049
Marratxí;24908;5184;83;5184;24991;192238
Lloseta;2664;368;0;368;2664;14958
Sant Antoni de Portmany;118434;8867;58;8867;118492;171300
Sant Joan de Labritja;83382;3224;0;3224;83382;100775
Formentera;31420;3133;250;3133;31670;50829
es Migjorn Gran;2496;1909;0;1909;2496;10317
Petra;2508;1170;0;1170;2508;15946
Ciutadella;17158;29925;19;29925;17177;135968
Santanyí;22933;20784;420;20784;23353;131146
Escorca;4135;1606;0;1606;4135;6017
Palma;73012;25937;363;25937;73374;704295
Son Servera;7764;2091;185;2091;7950;49164
Ariany;378;355;0;355;378;8405
Alcúdia;13295;5415;7;5415;13303;95736
Santa Margalida;5926;2728;0;2728;5926;75328
Selva;1815;1079;0;1079;1815;14409
Vilafranca de Bonany;948;357;0;357;948;16505
sa Pobla;7783;1435;0;1435;7783;51692
Calvià;16429;16427;672;16427;17100;267164
Manacor;32295;19266;0;19266;32295;201498
Sant Lluís;2420;17351;0;17351;2420;70208
Capdepera;7868;4281;0;4281;7868;98355
Santa María del Camí;70;8688;0;8688;70;17848
Campanet;1641;616;0;616;1641;9615
Maria de la Salut;1445;410;0;410;1445;13230
Costitx;2579;248;0;248;2579;5793
Alaró;855;5375;0;5375;855;16378
Campos;6239;3172;0;3172;6239;69940
Pollença;14736;13719;1382;13719;16118;81020
Sant Joan;2362;592;0;592;2362;11987
Puigpunyent;3141;753;0;753;3141;14558
Fornalutx;216;1429;167;1429;383;1398
es Castell;61;7311;0;7311;61;28861
Felanitx;20136;4802;50;4802;20185;91592
Estellencs;2324;291;0;291;2324;4378
Valldemossa;9682;2622;205;2622;9887;19813
Búger;217;221;0;221;217;4969
Montuïri;3734;750;0;750;3734;12051
Inca;6367;2032;0;2032;6367;63901
es Mercadal;7780;9963;0;9963;7780;62165
Muro;3002;2435;0;2435;3002;40442
Sineu;4363;762;132;762;4495;19511
Banyalbufar;0;1065;0;1065;0;5661
Bunyola;2666;1894;0;1894;2666;40282
Ferreries;4200;3138;0;3138;4200;17020
Eivissa;13913;4875;99;4875;14012;73153
ses Salines;1715;1975;14;1975;1729;34098
Porreres;2551;983;163;983;2714;16411
Sant Josep de sa Talaia;120252;9166;632;9166;120884;234289
Consell;1288;395;0;395;1288;10738
