La Victoria de Acentejo;1656;886;0;886;1656;24877
Gáldar;1576;4531;89;4531;1664;97318
San Cristóbal de La Laguna;54385;17796;468;17796;54853;385698
Tejeda;533;1969;0;1969;533;12107
Los Silos;560;7106;0;7106;560;20656
Los Llanos de Aridane;17546;6079;0;6079;17546;67628
Garafía;12459;3652;0;3652;12459;14277
Agüimes;1789;7707;541;7707;2329;113794
Los Realejos;26722;4839;0;4839;26722;98003
La Aldea de San Nicolás;261;2137;0;2137;261;39754
Antigua;5055;6853;0;6853;5055;65520
Yaiza;2941;14896;25083;14896;28024;169829
Puntallana;8006;2189;0;2189;8006;12898
Tijarafe;14280;2754;0;2754;14280;26286
La Guancha;6243;941;0;941;6243;24255
Tegueste;4561;1059;0;1059;4561;42805
Tinajo;428;3906;0;3906;428;46791
Ingenio;553;3540;78;3540;631;100693
Arucas;1657;2946;0;2946;1657;90613
El Rosario;5445;13707;89;13707;5534;58458
Tuineje;19512;8121;465;8121;19977;69921
Santiago del Teide;3117;9318;0;9318;3117;30968
Santa Cruz de Tenerife;22361;32041;25;32041;22385;343403
Telde;2344;9183;158;9183;2502;239757
Garachico;4880;5186;0;5186;4880;24305
Valsequillo de Gran Canaria;640;1186;0;1186;640;50401
Güímar;13027;10748;0;10748;13027;58453
Frontera;1666;5848;74;5848;1740;20494
Santa María de Guía de Gran Canaria;423;2245;0;2245;423;40608
Arona;48877;10789;428;10789;49305;209177
Valle Gran Rey;2197;2911;321;2911;2518;17027
Puntagorda;6268;1981;0;1981;6268;25158
Fuencaliente de la Palma;6940;2397;0;2397;6940;16125
Teguise;1657;15071;2030;15071;3687;162113
San Miguel de Abona;36805;3155;0;3155;36805;91891
Tazacorte;2535;1930;0;1930;2535;8121
Mogán;1932;5931;0;5931;1932;85131
Moya;162;1143;0;1143;162;30926
Vallehermoso;11851;3242;2777;3242;14628;19057
Breña Baja;7703;3993;367;3993;8070;30718
Haría;299;4200;0;4200;299;36846
Santa Lucía de Tirajana;5555;3829;0;3829;5555;127484
Artenara;348;1209;0;1209;348;6599
San Andrés y Sauces;6906;1303;0;1303;6906;17829
Hermigua;6361;1911;53;1911;6414;7021
Villa de Mazo;24346;2929;0;2929;24346;31362
Adeje;34025;12567;296;12567;34321;140539
Firgas;289;840;0;840;289;32837
Granadilla de Abona;29682;8495;6678;8495;36360;149791
El Pinar de El Hierro;7493;3177;0;3177;7493;18371
Pájara;3458;12881;1159;12881;4617;61462
Buenavista del Norte;6737;9618;1079;9618;7816;24683
Santa Úrsula;3578;6436;0;6436;3578;56932
El Paso;13367;5960;0;5960;13367;51899
Valverde;10127;9271;107;9271;10234;42927
Guía de Isora;9244;19178;0;19178;9244;61879
San Juan de la Rambla;7188;1342;0;1342;7188;21248
Betancuria;2394;2131;0;2131;2394;8315
Teror;234;1277;0;1277;234;35370
Breña Alta;16393;2474;0;2474;16393;42726
Icod de los Vinos;55405;3246;0;3246;55405;104193
Alajeró;10914;1587;614;1587;11528;15623
San Sebastián de la Gomera;16682;4509;1816;4509;18498;30538
Tacoronte;17353;1650;0;1650;17353;91520
Valleseco;245;906;0;906;245;18918
La Oliva;38670;12236;433;12236;39103;200600
Puerto de la Cruz;5797;5224;0;5224;5797;65578
Arafo;5497;6895;0;6895;5497;28121
Candelaria;18305;19078;0;19078;18305;71522
El Tanque;4853;3985;0;3985;4853;17495
Arico;14224;4456;0;4456;14224;58038
El Sauzal;7014;1237;0;1237;7014;38641
Vilaflor;3141;1836;0;1836;3141;8631
Fasnia;3544;1170;0;1170;3544;18121
Barlovento;8590;1367;0;1367;8590;13354
Vega de San Mateo;1333;1705;0;1705;1333;27460
San Bartolomé;1037;5887;2111;5887;3148;62773
Las Palmas de Gran Canaria;19147;41385;559;41385;19706;523627
Arrecife;4115;4930;0;4930;4115;115847
Tías;3717;9236;2060;9236;5777;112689
Santa Cruz de la Palma;5583;1868;0;1868;5583;24588
San Bartolomé de Tirajana;7255;33005;472;33005;7727;191625
La Matanza de Acentejo;6664;1055;0;1055;6664;26691
Agulo;5674;893;397;893;6071;6856
La Orotava;58748;5162;0;5162;58748;151803
Santa Brígida;1031;1564;0;1564;1031;69432
Puerto del Rosario;87401;8888;0;8888;87401;174599
Agaete;777;2300;1981;2300;2758;20538
