Fabero;2023;431;109;431;2132;33924
Turcia;3040;398;0;398;3040;18431
Villadangos del Páramo;757;842;0;842;757;40835
Algadefe;5657;71;0;71;5657;6236
Santa Cristina de Valmadrigal;0;125;0;125;0;7123
Villarejo de Órbigo;11545;593;0;593;11545;31919
Puente de Domingo Flórez;1403;306;125;306;1527;14391
Fuentes de Carbajal;2054;73;0;73;2054;4464
Castrocalbón;14542;231;0;231;14542;14798
Palacios del Sil;2780;863;0;863;2780;16941
Villademor de la Vega;8322;70;0;70;8322;8322
Bembibre;11400;1980;485;1980;11885;52840
Corbillos de los Oteros;0;212;0;212;0;5628
Balboa;5670;170;0;170;5670;6741
Pajares de los Oteros;0;491;0;491;0;10311
San Andrés del Rabanedo;1400;3203;159;3203;1558;77662
Escobar de Campos;1784;33;0;33;1784;1784
Valdepolo;13317;819;0;819;13317;24917
Prado de la Guzpeña;4246;95;0;95;4246;4246
Cubillos del Sil;12028;828;0;828;12028;32244
Pobladura de Pelayo García;796;127;0;127;796;7540
Candín;483;244;0;244;483;11795
Bercianos del Páramo;9074;230;0;230;9074;12093
Boñar;10037;822;2599;822;12635;21290
Boca de Huérgano;9299;719;0;719;9299;12147
Cubillas de los Oteros;0;282;0;282;0;4657
Urdiales del Páramo;14733;204;0;204;14733;15478
Noceda del Bierzo;59;300;0;300;59;14118
Matallana de Torío;15246;340;0;340;15246;16954
Cebanico;5121;188;0;188;5121;5121
Chozas de Abajo;793;1087;0;1087;793;39723
San Emiliano;19100;1263;0;1263;19100;20440
Villasabariego;553;600;0;600;553;19411
Santa Marina del Rey;11147;730;0;730;11147;23282
Oencia;389;133;0;133;389;10492
Berlanga del Bierzo;2186;957;0;957;2186;9130
Corullón;1840;271;0;271;1840;16829
Toreno;14050;647;0;647;14050;33988
Villazala;7847;344;0;344;7847;12815
Villamandos;6902;98;0;98;6902;6902
Valderrey;5858;321;0;321;5858;13951
Benuza;899;297;0;297;899;14775
Santa María de la Isla;6923;70;0;70;6923;6923
Sahagún;11312;983;0;983;11312;25041
Cistierna;25005;656;79;656;25084;32970
La Bañeza;5833;915;0;915;5833;41897
Valdevimbre;0;572;0;572;0;18407
La Pola de Gordón;18705;1089;25;1089;18730;40979
La Vecilla;5663;87;0;87;5663;5663
Santiago Millas;9331;173;0;173;9331;12553
Mansilla Mayor;220;358;0;358;220;7145
Campazas;3965;106;0;106;3965;3965
Sobrado;0;170;0;170;0;8101
Valverde-Enrique;3073;127;0;127;3073;5792
Calzada del Coto;2106;245;0;245;2106;6242
Riego de la Vega;3466;342;0;342;3466;19360
Gordoncillo;6359;79;0;79;6359;6359
Regueras de Arriba;246;78;0;78;246;4275
Páramo del Sil;3113;1135;143;1135;3256;25236
Brazuelo;12372;593;0;593;12372;13880
Cimanes de la Vega;7941;163;0;163;7941;7941
Roperuelos del Páramo;2160;380;0;380;2160;11992
Vega de Valcarce;5627;620;0;620;5627;11839
Villaturiel;578;762;0;762;578;29848
Joarilla de las Matas;4557;134;0;134;4557;4862
Destriana;5421;161;0;161;5421;8868
Lucillo;16190;354;0;354;16190;16269
Crémenes;8362;2274;740;2274;9101;12105
Riaño;1536;697;366;697;1901;7369
Maraña;1839;255;0;255;1839;2667
Valdepiélago;7717;201;0;201;7717;10348
Congosto;2340;771;334;771;2674;18199
San Cristóbal de la Polantera;5581;221;0;221;5581;10271
Vallecillo;1314;102;0;102;1314;4592
Castrotierra de Valmadrigal;0;60;0;60;0;3813
Zotes del Páramo;2718;200;0;200;2718;10412
Villaobispo de Otero;6608;263;0;263;6608;11325
Garrafe de Torío;324;655;0;655;324;30442
Val de San Lorenzo;2777;210;0;210;2777;15083
Laguna de Negrillos;14431;274;0;274;14431;16251
Valderrueda;24265;624;0;624;24265;24465
El Burgo Ranero;9744;413;0;413;9744;17941
Villazanzo de Valderaduey;9935;158;0;158;9935;11022
La Ercina;11960;250;0;250;11960;12672
Izagre;3833;115;0;115;3833;5970
Vegacervera;2796;161;904;161;3700;5967
Carrocera;11049;528;155;528;11204;11982
Sancedo;0;226;0;226;0;8109
Trabadelo;3271;331;0;331;3271;11491
Castrillo de la Valduerna;2416;60;0;60;2416;2451
Soto y Amío;13333;689;0;689;13333;16730
Carrizo;3728;484;0;484;3728;26096
Las Omañas;4463;137;0;137;4463;7635
Santa Colomba de Curueño;15003;244;0;244;15003;16077
Campo de Villavidel;0;108;0;108;0;4552
Villablino;98;2362;0;2362;98;58116
Castrocontrigo;11630;1653;0;1653;11630;21084
Benavides;12891;458;0;458;12891;26413
Gradefes;24585;511;0;511;24585;24585
Luyego;16043;436;0;436;16043;18805
Villafranca del Bierzo;355;5873;0;5873;355;33615
Truchas;7862;441;0;441;7862;16792
Oseja de Sajambre;7215;840;0;840;7215;7586
Arganza;0;915;0;915;0;14205
Vegas del Condado;19239;630;0;630;19239;25155
Pozuelo del Páramo;8338;154;0;154;8338;9444
La Robla;17855;2368;0;2368;17855;35528
León;5512;11540;72;11540;5584;162078
San Millán de los Caballeros;3935;124;0;124;3935;3935
Burón;6342;713;272;713;6614;11140
Santa María del Monte de Cea;8570;129;0;129;8570;8570
San Justo de la Vega;171;670;0;670;171;23115
Bustillo del Páramo;25163;572;0;572;25163;25574
Santa María de Ordás;10041;141;0;141;10041;10105
Laguna Dalga;3072;245;0;245;3072;7770
Puebla de Lillo;5187;602;0;602;5187;7140
Prioro;7719;238;0;238;7719;8788
Toral de los Guzmanes;11685;138;0;138;11685;11685
Molinaseca;5055;847;682;847;5738;11169
Peranzanes;92;323;37;323;128;10166
Cea;10218;183;0;183;10218;11537
Castilfalé;98;89;0;89;98;2684
Matadeón de los Oteros;0;149;0;149;0;5671
Priaranza del Bierzo;5364;301;60;301;5424;8081
Villamanín;11131;1286;0;1286;11131;20590
Murias de Paredes;11045;649;0;649;11045;14750
Valdelugueros;4941;325;0;325;4941;4941
San Adrián del Valle;3093;67;0;67;3093;3228
Valderas;1744;465;0;465;1744;14322
Valdefresno;941;1720;0;1720;941;33335
Igüeña;404;747;0;747;404;24560
Sabero;21618;252;0;252;21618;21772
Valverde de la Virgen;1605;1007;0;1007;1605;34728
Villabraz;5128;156;0;156;5128;5128
Cabañas Raras;2574;360;0;360;2574;22941
Riello;21429;725;0;725;21429;24848
Toral de los Vados;241;632;167;632;408;26381
Borrenes;0;232;0;232;0;8456
Vegaquemada;13110;232;0;232;13110;13110
Vega de Infanzones;0;344;0;344;0;12264
Santa María del Páramo;3878;341;0;341;3878;17961
Quintana del Marco;6225;102;0;102;6225;6282
Quintana y Congosto;10039;244;0;244;10039;10573
Grajal de Campos;5258;172;0;172;5258;6545
Gordaliza del Pino;0;116;0;116;0;4400
Folgoso de la Ribera;78;386;0;386;78;24056
Villamejil;18703;373;0;373;18703;18703
Cuadros;189;708;0;708;189;27926
Ardón;0;556;0;556;0;13132
Mansilla de las Mulas;7;511;0;511;7;19449
Valdefuentes del Páramo;7206;135;0;135;7206;8754
Carracedelo;41;832;202;832;243;40924
