Lezo;5355;1247;48;1247;5403;17181
Barrundia;0;3161;0;3161;0;22337
Gipuzkoa eta Arabako Partzuergo Orokorra;0;473;0;473;0;0
Ibarra;2371;628;0;628;2371;5476
Ibarrangelu;435;864;0;864;435;1471
Itsasondo;0;461;0;461;0;985
Basauri;7433;1772;66;1772;7499;42260
Leza;0;347;0;347;0;3597
Sestao;679;1774;80;1774;759;21671
Lekeitio;5161;793;176;793;5338;12642
Arraia-Maeztu;0;3112;0;3112;0;16553
Bidania-Goiatz;550;402;0;402;550;1872
Zizurkil;2142;796;174;796;2316;2804
Altzaga;0;193;0;193;0;0
Leioa;9596;3297;373;3297;9969;43513
Kortezubi;300;733;285;733;585;585
San Millán/Donemiliaga;0;2540;0;2540;0;22881
Zegama;234;1483;98;1483;332;3289
Peñacerrada-Urizaharra;0;1157;148;1157;148;7767
Zarautz;5987;2913;0;2913;5987;29362
Aulesti;1064;538;0;538;1064;1822
Mendexa;171;268;0;268;171;782
Gatika;282;1157;0;1157;282;3363
Arakaldo;0;218;0;218;0;3472
Deba;2821;1733;0;1733;2821;8266
Arratzua-Ubarrundia;0;2422;0;2422;0;14357
Gamiz-Fika;2804;1378;0;1378;2804;4537
Erandio;6761;3016;464;3016;7225;32246
Zigoitia;0;5202;0;5202;0;32085
Olaberria;796;600;0;600;796;1613
Andoain;4302;2578;734;2578;5036;17809
Baliarrain;364;100;0;100;364;550
Berriz;8688;1143;0;1143;8688;11740
Valle de Arana/Harana;0;773;0;773;0;6090
Ereño;217;357;0;357;217;217
Irun;12318;9250;1073;9250;13391;75446
Iruña Oka/Iruña de Oca;0;3512;0;3512;0;34659
Laguardia;0;2165;0;2165;0;13339
Hondarribia/Fontarrabie;8123;4367;622;4367;8745;35830
Azkoitia;5306;2461;72;2461;5379;16889
Lizartza;840;204;0;204;840;1320
Laukiz;3348;990;109;990;3456;4658
Samaniego;57;301;0;301;57;5236
Urduña / Orduña;12333;1267;1270;1267;13603;17088
Villabuena de Álava/Eskuernaga;0;319;0;319;0;3601
Ormaiztegi;203;499;0;499;203;1181
Gordexola;235;413;443;413;679;9769
Larraul;0;253;33;253;33;829
Bergara;4510;2283;0;2283;4510;22020
Bermeo;3887;3677;583;3677;4470;19119
Aia;2110;1870;161;1870;2271;5263
Lantarón;0;1780;0;1780;0;19687
Mañaria;196;502;177;502;374;1324
Okondo;0;1144;0;1144;0;2532
Munitibar-Arbatzegi Gerrikaitz;805;572;324;572;1129;1887
Zaldibia;0;902;0;902;0;1359
Gaztelu;0;219;0;219;0;0
Garai;542;270;0;270;542;542
Mutriku;1599;1531;48;1531;1647;8777
Beasain;2960;1315;0;1315;2960;16386
Ordizia;1199;773;0;773;1199;13479
Igorre;1631;1527;0;1527;1631;8671
Labastida/Bastida;0;1530;0;1530;0;16035
Sondika;4470;1381;0;1381;4470;17639
Campezo/Kanpezu;0;1857;0;1857;0;11864
Oyón/Oion;428;1290;0;1290;428;15162
Pasaia;2214;1177;531;1177;2745;13267
Ubide;2601;211;48;211;2649;2649
Errenteria;7342;3844;85;3844;7427;36138
Gorliz;5672;1871;0;1871;5672;18486
Ataun;63;1386;236;1386;299;915
Enirio-Aralarko Mankomunitatea;0;1502;0;1502;0;0
Portugalete;1786;2775;279;2775;2065;35691
Elgoibar;4694;2178;0;2178;4694;18142
Lemoa;8074;783;761;783;8834;8834
Alonsotegi;297;948;0;948;297;5511
Villabona-Amasa;552;1051;0;1051;552;3404
Legutio;0;2462;0;2462;0;17778
Nabarniz;1269;510;0;510;1269;1269
Yécora/Iekora;0;248;0;248;0;4460
Plentzia;2229;995;78;995;2307;13014
Morga;956;715;507;715;1463;1463
Moreda de Álava;0;476;0;476;0;2915
Ribera Alta;0;2489;0;2489;0;18774
Urnieta;4185;1550;0;1550;4185;10445
Kuartango/Cuartango;0;1162;0;1162;0;13930
Aramaio;0;2477;0;2477;0;5469
Orozko;2433;2551;2172;2551;4605;10849
Larrabetzu;725;1086;27;1086;752;5529
Alkiza;0;410;0;410;0;1054
Sukarrieta;192;255;0;255;192;1449
Trucios-Turtzioz;148;448;0;448;148;4036
Maruri-Jatabe;476;968;0;968;476;3035
Lasarte-Oria;7325;1209;916;1209;8240;20909
Muskiz;6066;2555;433;2555;6499;24440
Amurrio;77;4306;0;4306;77;37554
Parzonería de Badaya/Badaiako partzuergoa;0;116;0;116;0;0
Galdakao;19684;3544;520;3544;20204;49684
Leaburu;300;236;0;236;300;623
Galdames;0;989;0;989;0;6859
Murueta;869;332;0;332;869;869
Gabiria;46;512;108;512;154;1418
Zamudio;13368;2097;0;2097;13368;21921
Orexa;458;168;0;168;458;965
Ezkio-Itsaso;1013;964;0;964;1013;3906
Artzentales;0;834;0;834;0;1001
Forua;1174;577;0;577;1174;2552
Karrantza Harana / Valle de Carranza;109;2213;0;2213;109;11819
Elburgo/Burgelu;0;1117;0;1117;0;8433
Agurain/Salvatierra;0;1629;0;1629;0;17091
Entziako partzuergoa/Parzonería de Entzia;0;316;0;316;0;0
Ermua;3175;560;412;560;3587;10787
Arrankudiaga;4454;979;1978;979;6432;7091
Balmaseda;1669;912;339;912;2008;10939
Fruiz;622;509;74;509;696;1828
Urduliz;1435;709;0;709;1435;9286
Parzonería Menor de Guipúzcoa/Gipuzkoako Partzuergo Txikia;0;31;0;31;0;0
Azpeitia;8089;3493;107;3493;8195;19026
Barrika;1920;655;0;655;1920;7080
Irura;4747;365;0;365;4747;7120
Eskoriatza;1848;1636;0;1636;1848;6953
Ea;177;797;805;797;982;2476
Artziniega / Arceniega;5203;1017;1570;1017;6773;6997
Orio;2046;730;498;730;2544;11077
Arrigorriaga;2907;1460;0;1460;2907;11374
Berriatua;1749;364;0;364;1749;3502
Iurreta;9581;869;205;869;9786;11368
Alegia;577;475;0;475;577;2864
Belauntza;797;257;0;257;797;1126
Ayala/Aiara;204;4163;3011;4163;3215;34168
Elvillar/Bilar;0;400;0;400;0;4685
Añana;0;444;0;444;0;3508
Vitoria-Gasteiz;0;37758;0;37758;0;333517
Zalla;882;2815;0;2815;882;20992
Kripan;0;237;0;237;0;2335
Berantevilla;0;928;0;928;0;10453
Bedia;1556;507;147;507;1703;2385
Elantxobe;54;234;0;234;54;711
Lanciego/Lantziego;0;647;0;647;0;5207
Gernika-Lumo;10599;2110;460;2110;11059;27137
Idiazabal;2288;952;0;952;2288;4987
Markina-Xemein;2240;1009;0;1009;2240;7061
Urkabustaiz;0;1662;0;1662;0;28627
Arrasate / Mondragón;8602;2577;19;2577;8621;35742
Zerain;0;504;0;504;0;0
Zumaia;3647;1226;0;1226;3647;25077
Amezketa;595;721;0;721;595;1040
Dima;1660;2133;2426;2133;4086;4997
Ziortza-Bolibar;0;390;0;390;0;727
Mendata;893;749;78;749;971;1372
Laudio/Llodio;83;3506;0;3506;83;34085
Barakaldo;3864;9090;430;9090;4293;86896
Elgeta;3650;731;231;731;3881;5597
Zaratamo;1951;546;688;546;2638;4120
Urretxu;3086;984;0;984;3086;6500
Berastegi;2222;1168;0;1168;2222;4921
Lagrán;0;698;0;698;0;5166
Legorreta;0;701;0;701;0;2653
Zeberio;901;1042;538;1042;1439;1439
Zuia;0;3547;0;3547;0;34726
Muxika;2198;2125;113;2125;2311;2311
Donostia/San Sebastián;34952;16430;578;16430;35530;231459
Mungia;16128;5402;1946;5402;18074;48831
Segura;420;724;239;724;659;4349
Otxandio;2428;1095;229;1095;2658;4979
Ajangiz;1156;492;62;492;1218;1218
Sopuerta;3091;1342;0;1342;3091;7351
Anoeta;1546;432;0;432;1546;2719
Bilbao;9012;14825;1113;14825;10125;238238
Getxo;3723;5924;294;5924;4017;75201
Busturia;5252;1618;1302;1618;6554;8807
Altzo;288;477;0;477;288;454
Iturrietako partzuergoa/Parzonería de Iturrieta;0;206;0;206;0;0
Lanestosa;136;307;0;307;136;2684
Asparrena;0;2548;0;2548;0;19710
Elciego;586;601;0;601;586;7908
Lazkao;3840;860;0;860;3840;11217
Gizaburuaga;122;105;0;105;122;122
Izurtza;517;197;404;197;921;921
Armiñón;0;525;0;525;0;4059
Loiu;6705;1275;0;1275;6705;11383
Mundaka;604;913;0;913;604;4952
Zumarraga;6221;1682;280;1682;6501;13049
Bernedo;0;2308;0;2308;0;12983
Oñati;7510;3735;416;3735;7926;18008
Lemoiz;1975;1001;224;1001;2199;5495
Mallabia;6061;435;276;435;6337;6548
