Palas de Rei;47928;2086;287;2086;48215;51199
O Vicedo;613;1560;0;1560;613;3553
Redondela;105779;3983;552;3983;106330;143217
Pontecesures;13711;223;131;223;13842;19224
Dumbría;21111;1114;1109;1114;22220;22220
Mondariz;72686;2663;14052;2663;86738;89689
Vilanova de Arousa;45488;1022;4724;1022;50212;65660
Guntín;28543;583;359;583;28902;30183
O Barco de Valdeorras;1591;7466;371;7466;1962;60993
Monterrei;29766;584;0;584;29766;32723
Santiago de Compostela;29189;21140;3800;21140;32989;270025
O Páramo;20001;439;122;439;20123;20123
Negueira de Muñiz;4606;112;0;112;4606;4606
O Grove;33709;1599;676;1599;34384;50649
O Porriño;55682;7635;2605;7635;58287;81796
A Mezquita;11950;722;221;722;12171;16391
Frades;5149;3208;79;3208;5228;21258
Vilamarín;24178;425;517;425;24695;25015
San Xoán de Río;0;360;0;360;0;16855
Barro;29558;678;113;678;29670;29774
Baltar;17026;483;0;483;17026;19150
Sada;27454;8533;4549;8533;32003;72616
Boimorto;7523;689;0;689;7523;7523
O Incio;36005;708;0;708;36005;36862
Castroverde;52564;930;0;930;52564;54457
Paradela;31104;656;84;656;31188;32102
Begonte;16357;1016;89;1016;16447;18600
Irixoa;5521;1481;568;1481;6089;6551
A Guarda;18522;2207;1168;2207;19690;50738
A Gudiña;14063;1039;0;1039;14063;20318
A Teixeira;38;164;0;164;38;8368
Fisterra;13905;1522;6802;1522;20707;28865
Entrimo;19388;387;0;387;19388;19449
Vilar de Barrio;19725;431;305;431;20030;22845
Alfoz;8588;700;905;700;9493;9493
Oroso;11587;1732;481;1732;12068;21145
Ribas de Sil;10921;496;616;496;11537;17723
Laza;28334;790;653;790;28988;32858
Trazo;8497;1098;433;1098;8930;9758
Riós;35013;802;39;802;35052;35052
Bande;28766;579;0;579;28766;30128
Pol;40993;1199;29;1199;41022;41816
Montederramo;5415;680;232;680;5647;19751
Triacastela;12477;305;0;305;12477;13570
Viveiro;971;8097;11;8097;982;16299
As Pontes de García Rodríguez;15059;4047;170;4047;15229;44379
Coles;36181;594;0;594;36181;36425
A Peroxa;31146;898;2859;898;34005;34005
Corcubión;4768;326;514;326;5283;7847
A Pobra do Brollón;32430;845;0;845;32430;34084
Toques;12325;458;0;458;12325;12325
Beade;3072;54;0;54;3072;5692
Piñor;17496;474;0;474;17496;17496
Carballo;66010;3313;998;3313;67009;122203
