Viguera;3496;368;0;368;3496;3995
Viniegra de Abajo;0;238;0;238;0;1828
Ribafrecha;403;453;0;453;403;13207
Ochánduri;1996;58;0;58;1996;2782
Villalobar de Rioja;2987;42;0;42;2987;2987
Pradejón;11765;459;0;459;11765;14904
Arenzana de Abajo;2995;140;0;140;2995;2995
Zorraquín;86;123;0;123;86;1541
Navajún;0;31;0;31;0;1060
Santurde de Rioja;492;140;0;140;492;4053
Sojuela;4289;201;1193;201;5483;6574
Arnedillo;3801;315;220;315;4021;4507
Préjano;1666;420;0;420;1666;3904
Villarejo;541;48;0;48;541;541
Anguciana;2101;126;0;126;2101;6290
Tobía;476;27;0;27;476;476
Almarza de Cameros;1410;118;0;118;1410;1410
Briñas;1220;130;0;130;1220;3676
Galbárruli;1690;118;84;118;1774;1774
Albelda de Iregua;4494;769;1426;769;5919;17757
Soto en Cameros;580;321;2035;321;2615;2881
Azofra;1971;140;0;140;1971;4133
Tormantos;215;55;0;55;215;1510
Canillas de Río Tuerto;2033;54;0;54;2033;2033
Ollauri;5751;83;280;83;6031;6031
Santa Coloma;60;93;0;93;60;2328
Bañares;4238;251;0;251;4238;4256
Arnedo;11397;1201;718;1201;12115;35092
Ocón;6433;303;0;303;6433;8907
Baños de Río Tobía;1301;94;0;94;1301;8032
Ortigosa de Cameros;512;229;0;229;512;3271
Zarzosa;336;35;0;35;336;336
Ojacastro;265;183;0;183;265;5506
Mansilla de la Sierra;0;106;0;106;0;1633
Canales de la Sierra;0;106;0;106;0;790
Cirueña;6790;342;0;342;6790;8122
Fonzaleche;1749;342;0;342;1749;4295
Leiva;771;1399;652;1399;1423;4677
Leza de Río Leza;2763;95;0;95;2763;2763
Uruñuela;6816;120;77;120;6893;6893
Castañares de Rioja;107;193;0;193;107;4085
Lagunilla del Jubera;5994;310;0;310;5994;5994
Muro de Aguas;757;833;0;833;757;3387
Ledesma de la Cogolla;1117;70;0;70;1117;1117
Hornillos de Cameros;49;56;586;56;635;635
El Villar de Arnedo;2989;313;0;313;2989;6622
Sajazarra;495;131;0;131;495;4072
Cervera del Río Alhama;9440;780;6813;780;16253;16785
Alesón;1269;92;0;92;1269;1269
Alfaro;11559;1060;1857;1060;13416;42239
Arrúbal;9657;284;111;284;9768;17173
Agoncillo;2890;532;0;532;2890;11492
Briones;6552;483;609;483;7161;11328
Ajamil;1079;194;0;194;1079;1079
Tricio;4792;88;0;88;4792;4792
Cihuri;734;140;157;140;891;6660
Anguiano;3757;389;0;389;3757;3766
Santo Domingo de la Calzada;5439;1520;441;1520;5880;22449
Villanueva de Cameros;0;114;0;114;0;1230
Hormilla;4789;154;0;154;4789;4789
San Vicente de la Sonsierra;2810;564;1105;564;3915;11453
San Román de Cameros;2636;222;0;222;2636;2636
Manzanares de Rioja;2319;53;0;53;2319;2319
Herramélluri;665;42;0;42;665;1991
Cuzcurrita de Río Tirón;5674;196;0;196;5674;9075
Lumbreras de Cameros;3423;408;42;408;3465;7146
Pradillo;193;76;0;76;193;1170
Murillo de Río Leza;136;328;0;328;136;4605
Bobadilla;710;14;0;14;710;710
Haro;11049;1324;0;1324;11049;40176
Daroca de Rioja;1956;67;0;67;1956;1956
Tirgo;2242;139;0;139;2242;2242
Hervías;3138;85;0;85;3138;3138
Enciso;417;467;0;467;417;3864
Manjarrés;1501;41;0;41;1501;1501
Villar de Torre;3363;52;0;52;3363;3363
Pazuengos;1041;43;0;43;1041;1041
Valdemadera;0;38;0;38;0;822
Torrecilla en Cameros;898;663;0;663;898;4329
Estollo;2917;30;0;30;2917;2917
Cidamón;66;9;0;9;66;66
Nestares;137;58;0;58;137;1228
Grañón;95;183;0;183;95;3507
El Redal;2158;72;0;72;2158;2766
Sotés;2784;148;0;148;2784;2784
Cañas;1457;27;0;27;1457;1457
Gimileo;1482;49;0;49;1482;1482
Lardero;2741;1412;2034;1412;4775;31088
Nájera;10282;700;722;700;11004;21093
Cárdenas;1774;29;0;29;1774;1774
Nalda;11962;442;55;442;12017;14976
