La Unión;17987;1740;108;1740;18094;76783
Ricote;535;313;0;313;535;7372
Librilla;6325;1380;0;1380;6325;24915
Cartagena;159503;39087;4172;39087;163676;760848
Blanca;758;636;73;636;831;14827
Cehegín;34295;10253;773;10253;35069;87946
Las Torres de Cotillas;22146;1734;579;1734;22725;124679
Puerto Lumbreras;5911;1820;155;1820;6065;57340
Totana;27877;2936;90;2936;27967;97077
Beniel;4984;690;0;690;4984;28973
Abarán;8491;780;0;780;8491;32067
Molina de Segura;119816;4371;418;4371;120235;369715
Alcantarilla;14273;1627;151;1627;14424;82449
Mula;11863;1565;186;1565;12049;61423
Yecla;51181;3539;790;3539;51971;106943
Ceutí;2223;1112;24;1112;2247;62260
Santomera;20820;1396;0;1396;20820;61566
Albudeite;764;278;127;278;891;9645
Los Alcázares;841;2344;64;2344;904;145109
Abanilla;22004;1374;38;1374;22042;51033
Fuente Álamo de Murcia;104221;2613;0;2613;104221;156454
Fortuna;32401;1407;0;1407;32401;72750
Ojós;228;649;0;649;228;2878
Caravaca de la Cruz;52880;2458;8;2458;52888;79434
Águilas;57554;4325;0;4325;57554;141852
Murcia;613555;41587;5443;41587;618998;1484404
Torre Pacheco;30873;18010;298;18010;31171;283884
Alhama de Murcia;15698;2930;399;2930;16096;126120
Mazarrón;61313;3885;335;3885;61648;227852
Alguazas;8528;559;0;559;8528;29510
Pliego;1374;519;0;519;1374;20565
Bullas;12520;759;151;759;12671;71121
San Javier;32414;7453;810;7453;33224;196165
Jumilla;18732;2935;979;2935;19711;65267
Campos del Río;564;252;0;252;564;13789
Villanueva del Río Segura;1772;268;0;268;1772;13679
Lorca;69817;19453;977;19453;70794;215634
Lorquí;15671;1129;201;1129;15872;70253
San Pedro del Pinatar;19999;2259;883;2259;20882;145751
Ulea;365;354;0;354;365;4668
Calasparra;21616;1139;100;1139;21716;63936
Moratalla;24554;6594;116;6594;24670;45083
Cieza;6610;1738;428;1738;7038;64447
Archena;6471;1132;2016;1132;8487;69349
Aledo;2363;312;0;312;2363;7895
