Etxalar;0;1581;0;1581;0;4058
Arellano;43;73;0;73;43;2916
Orbaitzeta;0;629;0;629;0;3292
Lana;0;313;110;313;110;5668
Mañeru;126;147;0;147;126;3371
Oco;21;37;0;37;21;1629
Facería 62;0;1;0;1;0;0
Pamplona/Iruña;3738;11595;0;11595;3738;221150
Burlada/Burlata;750;892;69;892;819;20055
Mues;53;76;0;76;53;2565
Sangüesa/Zangoza;1135;1659;0;1659;1135;16074
Izagaondoa;0;303;0;303;0;4925
Sarriés/Sartze;0;98;0;98;0;924
Orbara;0;97;0;97;0;1195
Baztan;5526;10040;590;10040;6115;47751
Fontellas;460;311;0;311;460;7723
Genevilla;0;45;95;45;95;1960
Facería 67;0;2;0;2;0;0
Urraul Bajo;26;313;0;313;26;8176
Améscoa Baja;119;651;36;651;155;11879
Metauten;0;290;63;290;63;5722
Oteiza;472;165;0;165;472;6628
Aibar/Oibar;264;259;0;259;264;7768
Sada;313;63;0;63;313;3410
Igantzi;0;829;0;829;0;3839
Sartaguda;404;409;14;409;418;11145
Ituren;13;881;114;881;127;4041
Urdazubi/Urdax;252;727;86;727;338;4340
Ablitas;308;375;0;375;308;14575
Facería 39;0;2;0;2;0;0
San Adrián;502;464;0;464;502;29004
Facería 30;0;2;0;2;0;0
Facería 31;0;1;0;1;0;0
Facería 32;0;1;0;1;0;0
Irurtzun;0;236;0;236;0;6386
Funes;3358;447;0;447;3358;14835
Jaurrieta;0;121;0;121;0;2358
Facería 37;0;1;0;1;0;0
Eslava;5645;99;0;99;5645;9535
Esparza de Salazar;0;46;0;46;0;2004
Aralar mendilerroa / Sierra de Aralar;0;1345;0;1345;0;0
Isaba/Izaba;0;611;0;611;0;3050
Andosilla;737;326;0;326;737;15202
Oroz-Betelu / Orotz-Betelu;6;266;0;266;6;2584
Facería 50;0;1;0;1;0;0
Ansoáin/Antsoain;0;321;0;321;0;10024
Peralta;2456;692;0;692;2456;23971
Saldias;0;350;0;350;0;825
Facería 55;0;5;0;5;0;0
Goizueta;0;1378;0;1378;0;5451
Pitillas;0;178;0;178;0;6419
Irañeta;0;276;0;276;0;2697
Larraun;96;1809;34;1809;131;15914
Ujué / Uxue;0;291;63;291;63;4657
Piedramillera;37;58;0;58;37;1707
Orísoain;220;73;0;73;220;1152
Erro;122;1826;1502;1826;1624;16334
Urroz;0;133;0;133;0;3420
Ibargoiti;0;489;0;489;0;6413
Dicastillo;0;137;0;137;0;4374
Puente la Reina/Gares;0;523;0;523;0;12329
