Bordón;275;87;0;87;275;2562
Albeta;1096;43;0;43;1096;2534
Loscos;675;92;0;92;675;3209
Talamantes;0;96;0;96;0;1468
Ejea de los Caballeros;24435;8031;115;8031;24550;99580
Valjunquera / Valljunquera;630;186;0;186;630;4303
Las Parras de Castellote;1393;67;0;67;1393;2589
Vistabella;203;32;0;32;203;1361
Monreal de Ariza;676;246;0;246;676;3131
Torre la Ribera;425;183;0;183;425;425
Lalueza;10362;229;0;229;10362;14953
Cañada Vellida;34;43;0;43;34;1235
San Martín del Río;420;135;0;135;420;3799
Laspaúles;1598;136;294;136;1892;1934
Ababuj;183;33;0;33;183;1798
Frías de Albarracín;0;497;0;497;0;182
Cucalón;0;71;0;71;0;1983
El Cuervo;78;51;0;51;78;2329
Escucha;3068;173;469;173;3538;10455
Lumpiaque;2171;143;254;143;2425;10355
Castillazuelo;1019;85;0;85;1019;1948
Puértolas;2106;336;0;336;2106;2320
Colungo;1259;156;0;156;1259;1361
Allepuz;647;392;0;392;647;2566
Pina de Ebro;3434;836;0;836;3434;14787
Linares de Mora;1424;245;0;245;1424;4655
Jarque de Moncayo;1747;47;0;47;1747;3978
Valtorres;0;72;39;72;39;2378
Ateca;1405;402;0;402;1405;8852
Orihuela del Tremedal;2016;220;0;220;2016;10752
Nuez de Ebro;2657;69;161;69;2817;9828
Peralta de Alcofea;7921;105;0;105;7921;8351
Bárboles;1464;210;0;210;1464;3443
Valdelinares;728;418;0;418;728;2275
Martín del Río;525;125;0;125;525;4261
Moyuela;1575;55;166;55;1741;4348
Belver de Cinca;1643;143;93;143;1736;7094
Estercuel;1592;95;286;95;1878;4085
Villanova;291;85;0;85;291;926
Cabolafuente;3075;90;0;90;3075;4625
Santa María de Dulcis;1557;71;0;71;1557;1557
Senés de Alcubierre;0;489;0;489;0;1093
Cosuenda;40;1429;0;1429;40;4853
La Almunia de Doña Godina;2991;1203;0;1203;2991;24217
Bardallur;869;96;0;96;869;1993
Torralbilla;473;34;0;34;473;1540
Villarreal de Huerva;1070;125;0;125;1070;2863
Munébrega;1659;134;0;134;1659;4297
Valle de Bardají;1429;61;0;61;1429;1429
La Muela;16479;1560;1560;1560;18039;51796
Cadrete;4270;401;128;401;4398;39528
Albarracín;637;2981;202;2981;839;9746
Toril y Masegoso;0;60;0;60;0;808
Maluenda;1336;134;46;134;1382;5674
Cabra de Mora;159;460;0;460;159;1183
Benabarre;2797;688;0;688;2797;9874
