Llanera;24185;3151;0;3151;24185;51723
Valdés;109402;3826;1073;3826;110475;129241
Morcín;7664;765;1614;765;9277;9870
Cangas de Onís;18694;3568;356;3568;19050;22721
Villaviciosa;28905;3982;0;3982;28905;44995
Ribera de Arriba;5233;797;117;797;5350;5350
Santo Adriano;2373;767;1233;767;3607;4658
Siero;42714;12291;1343;12291;44057;92426
Cudillero;56002;2272;2711;2272;58713;59923
Ribadesella;24196;3199;46;3199;24242;39801
Yernes y Tameza;3436;729;0;729;3436;3436
Gijón/Xixón;12316;30104;1337;30104;13653;351875
Candamo;3605;448;0;448;3605;3605
Illas;771;380;833;380;1604;2340
Santa Eulalia de Oscos;10981;406;0;406;10981;11506
Piloña;25376;9962;939;9962;26314;32278
Cangas del Narcea;134265;3382;1728;3382;135994;145541
Mieres;45454;5006;305;5006;45760;71491
Ponga;7764;1713;514;1713;8278;12968
Navia;52963;2312;0;2312;52963;60589
Sobrescobio;12296;1138;0;1138;12296;12317
Lena;44444;5976;3322;5976;47765;58856
Quirós;28734;4939;204;4939;28938;28938
Bimenes;5443;4345;0;4345;5443;5443
Tineo;93204;2278;117;2278;93321;97038
Peñamellera Alta;9114;2156;0;2156;9114;9394
Pravia;13780;1028;0;1028;13780;20906
Degaña;8869;250;0;250;8869;8869
Cabrales;43;8750;59;8750;102;4734
Riosa;4811;478;953;478;5764;7749
Pesoz;5476;193;164;193;5640;5640
Tapia de Casariego;30363;1245;0;1245;30363;43099
Llangréu/Langreo;27198;14082;294;14082;27492;95252
Teverga;29235;875;1069;875;30304;30987
Cabranes;7159;502;628;502;7787;7787
Vegadeo;26265;1327;3935;1327;30199;35048
Coaña;26633;1070;0;1070;26633;27355
Taramundi;14184;2138;423;2138;14607;16384
Corvera de Asturias;15900;1956;0;1956;15900;38481
Castrillón;44523;3352;378;3352;44901;82066
Nava;21081;941;408;941;21489;28039
Ibias;38634;1323;333;1323;38966;38966
Salas;25413;1920;2042;1920;27455;36442
Gozón;22407;2222;33;2222;22440;39972
Soto del Barco;14976;729;0;729;14976;25430
San Tirso de Abres;9318;558;0;558;9318;9715
Caso;21339;3103;578;3103;21917;25472
Llanes;55000;10946;2560;10946;57560;80646
Colunga;28940;4738;540;4738;29481;42429
Sariego;7113;523;0;523;7113;8720
Villayón;17150;491;619;491;17769;17769
Ribadedeva;10536;760;431;760;10966;11596
Amieva;7480;687;1547;687;9028;9028
Somiedo;33515;2215;366;2215;33880;35193
Parres;8946;1395;504;1395;9450;15425
Onís;7220;2443;0;2443;7220;7220
Carreño;11360;2120;140;2120;11499;28838
Grandas de Salime;20533;728;0;728;20533;23420
Castropol;36803;1631;0;1631;36803;47603
Proaza;16267;839;140;839;16407;17076
Aller;22274;4328;1080;4328;23355;32938
Boal;12480;1422;0;1422;12480;14498
Grau/Grado;28565;2354;366;2354;28931;40792
San Martín de Oscos;12380;277;0;277;12380;12380
Illano;16712;638;1076;638;17787;17787
El Franco;11291;824;0;824;11291;18575
Villanueva de Oscos;7132;478;0;478;7132;7132
Las Regueras;6012;685;0;685;6012;6012
Peñamellera Baja;10238;843;0;843;10238;11478
Samartín del Rei Aurelio;23064;2369;192;2369;23256;42809
Noreña;1151;1318;172;1318;1323;17669
Belmonte de Miranda;12228;886;1326;886;13554;15527
Allande;41014;1449;34;1449;41048;42497
Laviana;25102;2724;987;2724;26088;35718
Muros de Nalón;6563;1522;0;1522;6563;15591
Avilés;28494;6174;2246;6174;30741;105415
Oviedo;76564;25208;3102;25208;79666;241044
Caravia;84;914;0;914;84;7975
