Sant Llorenç des Cardassar;5374;3604;99;3604;5473;61884
Sencelles;482;524;0;524;482;6935
Binissalem;1017;663;0;663;1017;22606
Llubí;5797;453;0;453;5797;14276
Alaior;2139;11880;0;11880;2139;50577
Esporles;8710;1605;0;1605;8710;35971
Algaida;3307;1671;409;1671;3716;23510
Artà;3315;2340;0;2340;3315;47915
Deià;1037;1292;0;1292;1037;6200
Andratx;6322;5853;0;5853;6322;85377
Santa Eulària des Riu;184605;7509;214;7509;184819;335894
Sóller;3471;7963;0;7963;3471;42950
Mancor de la Vall;787;275;0;275;787;5958
Llucmajor;11621;7973;97;7973;11718;157523
Santa Eugènia;1885;392;0;392;1885;6902
Lloret de Vistalegre;612;232;0;232;612;4147
Maó;13338;27077;466;27077;13804;92049
Marratxí;24772;5211;83;5211;24856;192216
Lloseta;2091;374;0;374;2091;14385
Sant Antoni de Portmany;118434;8851;58;8851;118492;171300
Sant Joan de Labritja;83382;3225;0;3225;83382;100775
Formentera;31420;3133;250;3133;31670;50829
es Migjorn Gran;2496;1909;0;1909;2496;10317
Petra;2508;1169;0;1169;2508;15946
Ciutadella;17158;29925;19;29925;17177;135968
Santanyí;22933;20785;420;20785;23353;131146
Escorca;4135;1612;0;1612;4135;6017
Palma;71867;26089;371;26089;72238;703928
Son Servera;7764;2091;185;2091;7950;49164
Ariany;378;355;0;355;378;8405
Alcúdia;13295;5426;7;5426;13303;95737
Santa Margalida;5926;2729;0;2729;5926;75328
Selva;1815;1091;0;1091;1815;14409
Vilafranca de Bonany;948;371;0;371;948;16505
sa Pobla;7783;1445;0;1445;7783;51692
Calvià;16103;16451;672;16451;16774;267151
Manacor;32295;19293;0;19293;32295;201498
Sant Lluís;2420;17351;0;17351;2420;70208
Capdepera;7868;4284;0;4284;7868;98355
Santa María del Camí;70;8690;0;8690;70;17848
Campanet;1641;628;0;628;1641;9615
Maria de la Salut;1445;413;0;413;1445;13230
Costitx;1456;273;0;273;1456;5105
Alaró;855;5375;0;5375;855;16378
Campos;6312;3187;0;3187;6312;69077
Pollença;14736;13739;1382;13739;16118;81029
Sant Joan;2362;597;0;597;2362;11987
Puigpunyent;3141;777;0;777;3141;14558
Fornalutx;194;1428;167;1428;361;1397
es Castell;61;7311;0;7311;61;28861
Felanitx;19975;4822;50;4822;20024;91590
Estellencs;2324;291;0;291;2324;4378
Valldemossa;9682;2623;205;2623;9887;19813
Búger;217;221;0;221;217;4969
Montuïri;3734;750;0;750;3734;12051
Inca;6367;2050;0;2050;6367;63882
es Mercadal;7780;9962;0;9962;7780;62165
Muro;3002;2437;0;2437;3002;40442
Sineu;4363;766;132;766;4495;19511
Banyalbufar;0;1068;0;1068;0;5639
Bunyola;2666;1899;0;1899;2666;40324
Ferreries;4200;3138;0;3138;4200;17020
Eivissa;13913;4870;99;4870;14012;73153
ses Salines;1715;1979;14;1979;1729;34098
Porreres;2551;988;163;988;2714;16411
Sant Josep de sa Talaia;119854;9166;632;9166;120486;234289
Consell;1288;395;0;395;1288;10738
