La Victoria de Acentejo;1656;886;0;886;1656;24877
Gáldar;1576;4531;89;4531;1664;97318
San Cristóbal de La Laguna;54385;17829;468;17829;54853;385698
Los Silos;560;7106;0;7106;560;20656
Los Llanos de Aridane;16978;6282;0;6282;16978;68003
Garafía;12459;3677;0;3677;12459;14277
Agüimes;1789;8228;541;8228;2329;113794
Los Realejos;26722;4839;0;4839;26722;98003
La Aldea de San Nicolás;261;2137;0;2137;261;39754
Antigua;5055;6853;0;6853;5055;65520
Yaiza;2941;14896;25083;14896;28024;169829
Puntallana;8004;2256;0;2256;8004;12897
Tijarafe;14287;2854;0;2854;14287;26293
La Guancha;6243;947;0;947;6243;24255
Tegueste;4561;1059;0;1059;4561;42805
Tinajo;428;3906;0;3906;428;46791
Ingenio;553;4431;78;4431;631;100695
Arucas;1657;3117;0;3117;1657;90613
El Rosario;5445;13707;89;13707;5534;58458
Tuineje;19512;8121;465;8121;19977;69921
Santiago del Teide;3117;9318;0;9318;3117;30968
Santa Cruz de Tenerife;22361;32130;25;32130;22385;343403
Telde;2344;9425;158;9425;2502;239757
Garachico;4880;5186;0;5186;4880;24305
Valsequillo de Gran Canaria;640;1186;0;1186;640;50401
Güímar;13141;12315;0;12315;13141;58574
Frontera;1666;5850;74;5850;1740;20494
Santa María de Guía de Gran Canaria;423;2245;0;2245;423;40608
Arona;48876;12600;428;12600;49303;209184
Valle Gran Rey;2197;2911;321;2911;2518;17048
Puntagorda;5619;2114;0;2114;5619;24440
Fuencaliente de la Palma;6940;2400;0;2400;6940;16125
Teguise;1657;15071;2030;15071;3687;162113
San Miguel de Abona;36805;3803;0;3803;36805;91891
Tazacorte;2335;1930;0;1930;2335;8122
Mogán;1932;5931;0;5931;1932;85131
Moya;162;1225;0;1225;162;30926
Vallehermoso;11851;3242;2777;3242;14628;19057
Breña Baja;7703;3995;367;3995;8070;30718
Haría;299;4205;0;4205;299;36846
Santa Lucía de Tirajana;5555;4540;0;4540;5555;127484
Artenara;348;1209;0;1209;348;6599
San Andrés y Sauces;6906;1303;0;1303;6906;17829
Hermigua;6361;1911;53;1911;6414;7021
Villa de Mazo;24342;2990;0;2990;24342;31363
Adeje;34025;12567;296;12567;34321;140539
Firgas;289;843;0;843;289;32837
Granadilla de Abona;29682;9405;6678;9405;36360;149791
Tejeda;533;1969;0;1969;533;12107
Pájara;3458;12881;1159;12881;4617;61462
Buenavista del Norte;6737;9620;1079;9620;7816;24683
Santa Úrsula;3578;6436;0;6436;3578;56932
El Paso;13193;6324;0;6324;13193;53068
Valverde;10127;9284;107;9284;10234;42927
Guía de Isora;9244;19178;0;19178;9244;61879
San Juan de la Rambla;7188;1342;0;1342;7188;21248
Betancuria;2394;2131;0;2131;2394;8315
Teror;234;1279;0;1279;234;35370
Breña Alta;16393;2474;0;2474;16393;42726
Icod de los Vinos;55405;3256;0;3256;55405;104193
Alajeró;10914;1587;614;1587;11528;15623
San Sebastián de la Gomera;16682;4696;1816;4696;18498;30538
Tacoronte;17353;1651;0;1651;17353;91520
Valleseco;294;915;0;915;294;18985
La Oliva;38670;12237;433;12237;39103;200600
Puerto de la Cruz;5797;5244;0;5244;5797;65578
Arafo;5497;6899;0;6899;5497;28121
Candelaria;18007;19082;0;19082;18007;71538
El Tanque;4853;3985;0;3985;4853;17495
Arico;14224;4757;0;4757;14224;58034
El Sauzal;7014;1237;0;1237;7014;38641
Vilaflor;3141;1836;0;1836;3141;8631
Fasnia;3544;1170;0;1170;3544;18121
Barlovento;8590;1367;0;1367;8590;13354
Vega de San Mateo;1333;1705;0;1705;1333;27460
San Bartolomé;1037;5887;2111;5887;3148;62773
Las Palmas de Gran Canaria;19147;41386;559;41386;19706;523627
Arrecife;4115;4930;0;4930;4115;115847
Tías;3717;9236;2060;9236;5777;112689
Santa Cruz de la Palma;5583;1868;0;1868;5583;24588
San Bartolomé de Tirajana;7255;33109;472;33109;7727;191625
La Matanza de Acentejo;6664;1055;0;1055;6664;26691
Agulo;5674;893;397;893;6071;6856
La Orotava;58748;5169;0;5169;58748;151803
Santa Brígida;1031;1564;0;1564;1031;69432
Puerto del Rosario;87402;8888;0;8888;87402;174600
Agaete;777;2300;1981;2300;2758;20538
