Santander;9234;50264;2279;50264;11512;276916
Camaleño;14057;1963;715;1963;14772;15781
Arenas de Iguña;4911;1326;61;1326;4972;19684
Valdeprado del Río;4182;708;95;708;4277;7938
Colindres;4127;677;0;677;4127;19921
Valdáliga;20997;1876;366;1876;21363;28863
Potes;214;1577;461;1577;675;7592
Castañeda;11756;530;117;530;11873;15836
Camargo;53037;2571;5667;2571;58704;113543
Corvera de Toranzo;19830;455;788;455;20617;23031
Entrambasaguas;0;3083;0;3083;0;25190
Udías;2388;178;173;178;2560;5670
Bareyo;4455;701;736;701;5190;27964
Piélagos;0;2782;1324;2782;1324;130020
Penagos;6600;1145;184;1145;6784;13466
Liérganes;551;1303;0;1303;551;15986
Santiurde de Reinosa;2336;283;0;283;2336;7539
Cabezón de la Sal;33802;1465;1931;1465;35733;45464
Alfoz de Lloredo;4476;781;124;781;4599;42452
Miera;1263;1245;152;1245;1416;5407
Tresviso;39;261;0;261;39;1109
Liendo;11140;317;1183;317;12323;17845
Selaya;893;359;89;359;983;9528
Los Tojos;2850;422;48;422;2898;3692
Castro-Urdiales;19163;8919;3024;8919;22187;91139
Vega de Pas;0;1188;0;1188;0;4534
Laredo;14921;3863;234;3863;15155;49861
Ampuero;8701;336;1591;336;10292;15045
Lamasón;3143;300;304;300;3447;4454
Herrerías;8992;677;59;677;9050;9346
Ruente;6256;1039;0;1039;6256;12191
Marina de Cudeyo;1041;1159;0;1159;1041;53535
Tudanca;4383;186;575;186;4959;5309
San Pedro del Romeral;0;323;0;323;0;8788
Campoo de Yuso;12242;761;13;761;12255;17890
Polanco;14424;671;3067;671;17490;24740
Meruelo;89;389;0;389;89;16575
San Vicente de la Barquera;2257;1179;204;1179;2461;19501
Vega de Liébana;4314;947;381;947;4694;18826
Mazcuerras;18164;514;678;514;18841;24774
Luena;5280;550;886;550;6166;7164
Cabezón de Liébana;7506;364;897;364;8403;13653
Rasines;791;308;145;308;936;2695
San Roque de Riomiera;0;1345;0;1345;0;443
Cieza;2439;228;716;228;3155;4269
Reocín;35653;1323;1670;1323;37322;49327
Bárcena de Cicero;0;898;0;898;0;35174
Santa Cruz de Bezana;24099;1174;10539;1174;34638;66399
Puente Viesgo;1578;1106;0;1106;1578;25586
Molledo;14222;1142;0;1142;14222;18324
Arredondo;5618;513;917;513;6536;9542
Valle de Villaverde;1632;427;0;427;1632;3298
Pesquera;0;118;0;118;0;1752
Ruesga;4401;785;718;785;5119;9833
Villacarriedo;0;435;0;435;0;19746
Hermandad de Campoo de Suso;10130;2086;628;2086;10758;28730
Limpias;2708;119;1193;119;3901;6108
Peñarrubia;7658;385;117;385;7775;9481
Bárcena de Pie de Concha;5288;205;0;205;5288;5288
Ramales de la Victoria;8031;2289;378;2289;8409;17437
Guriezo;0;991;0;991;0;19783
Valdeolea;5331;674;0;674;5331;18691
Val de San Vicente;15237;1454;393;1454;15630;28863
Arnuero;8200;1011;1163;1011;9363;35329
Hazas de Cesto;0;403;0;403;0;15020
Villaescusa;20775;919;174;919;20949;31058
Comillas;16597;886;1395;886;17992;26605
Santillana del Mar;23297;1321;3254;1321;26551;34277
Santa María de Cayón;0;6175;0;6175;0;38738
Solórzano;432;342;0;342;432;9252
Escalante;0;264;0;264;0;5027
Suances;11208;1430;2801;1430;14009;63417
Campoo de Enmedio;11760;1182;460;1182;12220;31717
Los Corrales de Buelna;0;9520;0;9520;0;48436
Cillorigo de Liébana;8580;876;0;876;8580;12034
Santiurde de Toranzo;13292;390;76;390;13368;19793
Voto;11599;602;684;602;12282;22671
Santoña;0;700;0;700;0;26297
Pesaguero;6019;231;1776;231;7795;9840
Polaciones;2701;307;914;307;3615;5608
Saro;0;137;0;137;0;3397
Valderredible;0;2452;0;2452;0;39253
Medio Cudeyo;1811;3506;281;3506;2093;35774
El Astillero;15985;972;1246;972;17231;38218
Rionansa;3773;937;184;937;3957;18601
Campoo-Cabuérniga;0;160;0;160;0;0
Cabuérniga;7844;629;0;629;7844;17359
Las Rozas de Valdearroyo;1004;436;0;436;1004;15316
Anievas;0;173;0;173;0;7592
Soba;2658;2305;0;2305;2658;26459
Noja;0;1787;0;1787;0;29827
Reinosa;4298;1125;1414;1125;5712;32336
Ribamontán al Mar;0;3752;0;3752;0;44259
Villafufre;7558;249;0;249;7558;15841
San Felices de Buelna;18894;1136;0;1136;18894;19538
San Miguel de Aguayo;717;193;0;193;717;1820
Miengo;8106;952;942;952;9048;30176
Cartes;12410;514;520;514;12931;17245
Torrelavega;0;24806;0;24806;0;128503
Ruiloba;9645;352;1540;352;11186;14785
Argoños;5727;374;2447;374;8174;25614
Riotuerto;3119;2515;164;2515;3283;18076
Ribamontán al Monte;3225;633;0;633;3225;14644
