Matalebreras;1124;84;0;84;1124;2563
Burgo de Osma-Ciudad de Osma;4059;1408;0;1408;4059;48625
Barca;0;220;0;220;0;3185
Blacos;1156;48;0;48;1156;1395
San Felices;1675;67;0;67;1675;1775
Rello;1311;255;0;255;1311;1819
Herrera de Soria;1087;61;0;61;1087;1087
Santa Cruz de Yanguas;1260;73;0;73;1260;1260
La Póveda de Soria;2779;138;0;138;2779;2844
Cidones;2636;313;0;313;2636;13040
Cubilla;0;53;0;53;0;1031
Arenillas;1560;21;0;21;1560;1560
Adradas;4020;294;0;294;4020;4020
Cerbón;1518;26;0;26;1518;1518
Fuentestrún;1929;19;0;19;1929;1929
Beratón;2299;62;0;62;2299;2299
Los Villares de Soria;0;50;0;50;0;2783
Valdeavellano de Tera;1095;118;1261;118;2356;4007
Pinilla del Campo;988;13;0;13;988;988
Portillo de Soria;339;8;0;8;339;339
Buberos;901;24;0;24;901;901
Renieblas;3560;81;0;81;3560;3629
Sotillo del Rincón;2964;185;0;185;2964;4812
Velilla de la Sierra;288;70;0;70;288;598
Frechilla de Almazán;1857;103;0;103;1857;1857
Castilruiz;3126;86;0;86;3126;4752
Taroda;2533;54;0;54;2533;2533
Nafría de Ucero;1642;109;0;109;1642;2786
Alentisque;1243;50;0;50;1243;1243
San Esteban de Gormaz;1400;2611;0;2611;1400;39849
Santa María de las Hoyas;0;176;0;176;0;3932
Carabantes;861;20;0;20;861;861
Yelo;2029;170;0;170;2029;2029
Cubo de la Solana;2862;451;0;451;2862;6229
Fuentearmegil;77;172;0;172;77;5955
Narros;0;30;0;30;0;1796
Calatañazor;816;274;0;274;816;1527
Deza;3646;391;0;391;3646;5273
Espejón;0;65;0;65;0;2007
Miño de Medinaceli;2005;521;341;521;2345;2787
Fresno de Caracena;972;28;0;28;972;972
Hinojosa del Campo;2399;17;0;17;2399;2399
Trévago;1961;25;0;25;1961;1961
Bayubas de Abajo;553;104;0;104;553;2606
Velilla de los Ajos;641;22;0;22;641;641
Arcos de Jalón;16473;2299;0;2299;16473;32210
Santa María de Huerta;469;322;0;322;469;5072
Baraona;5980;460;0;460;5980;6330
