Palau-sator;0;614;0;614;0;3271
Riner;0;489;0;489;0;1784
el Prat de Llobregat;204;10759;0;10759;204;69160
Sant Esteve de Palautordera;439;341;0;341;439;16473
Verdú;0;695;0;695;0;6527
Vilafant;351;1255;0;1255;351;29059
Regencós;339;109;0;109;339;2179
Massanes;68;236;0;236;68;10647
Sant Miquel de Campmajor;0;778;0;778;0;1101
Fígols i Alinyà;0;625;0;625;0;3438
Olesa de Bonesvalls;0;400;0;400;0;26062
Navàs;0;1338;0;1338;0;22058
Gavà;205;2913;0;2913;205;73039
Lleida;2611;11809;38;11809;2649;229394
Vilaür;0;327;0;327;0;1995
Banyoles;0;5113;262;5113;262;65388
Campelles;0;135;0;135;0;2048
el Brull;42;758;0;758;42;1106
Garrigoles;0;228;0;228;0;2194
Vespella de Gaià;27;137;0;137;27;8042
Riu de Cerdanya;0;213;0;213;0;1426
Naut Aran;88;3641;537;3641;625;24666
Torrent;0;362;0;362;0;2566
Montagut i Oix;147;1315;90;1315;237;5469
Preixana;1019;220;0;220;1019;4018
Das;0;266;0;266;0;7313
Torrelavit;0;445;0;445;0;6246
Santa Bàrbara;0;987;0;987;0;33320
Capellades;0;251;0;251;0;15116
Alpens;0;162;693;162;693;3798
Sant Pere de Torelló;0;1148;0;1148;0;13004
Alfarràs;0;1215;0;1215;0;11515
Solsona;273;2776;0;2776;273;33804
Nalec;316;143;0;143;316;1762
Tordera;322;2410;131;2410;453;97901
Cubelles;0;1380;0;1380;0;75283
Lluçà;0;382;0;382;0;1057
Pontons;0;425;0;425;0;6911
Vilanova i la Geltrú;0;34199;17;34199;17;150070
Santa Oliva;0;488;0;488;0;24128
Matadepera;71;2503;0;2503;71;88135
Granollers;4792;9095;0;9095;4792;95327
Sant Quirze del Vallès;1662;1980;266;1980;1928;91029
Alella;279;724;0;724;279;55548
Salomó;0;168;0;168;0;4753
Sant Feliu de Guíxols;397;10660;325;10660;723;87771
Fontanals de Cerdanya;0;605;150;605;150;14184
Salt;0;1364;0;1364;0;30872
Valls;2770;1757;0;1757;2770;84772
Montferri;0;225;0;225;0;3140
Vilabertran;0;177;0;177;0;2777
Sant Ferriol;0;706;94;706;94;286
la Pobla de Massaluca;393;166;0;166;393;2449
Castell-Platja d'Aro;339;6399;306;6399;645;109779
Torroja del Priorat;574;104;0;104;574;2134
Planoles;0;298;0;298;0;5500
Talarn;0;809;0;809;0;7093
Montoliu de Lleida;369;122;0;122;369;4935
Vilaplana;0;493;0;493;0;2305
Susqueda;0;371;0;371;0;225
Clariana de Cardener;0;460;0;460;0;293
la Morera de Montsant;0;777;0;777;0;2110
