Palas de Rei;47928;2093;287;2093;48215;51199
O Vicedo;613;1560;0;1560;613;3553
Redondela;105779;3989;552;3989;106330;143217
Pontecesures;13711;223;131;223;13842;19224
Dumbría;21111;1114;1109;1114;22220;22220
Mondariz;72686;2663;14052;2663;86738;89689
Vilanova de Arousa;45488;1022;4724;1022;50212;65660
Guntín;28543;583;359;583;28902;30183
O Barco de Valdeorras;1591;7468;371;7468;1962;60992
Monterrei;29766;584;0;584;29766;32723
Santiago de Compostela;29179;21468;3616;21468;32796;270025
O Páramo;20001;442;122;442;20123;20123
Negueira de Muñiz;4606;112;0;112;4606;4606
O Grove;33709;1599;676;1599;34384;50649
O Porriño;55682;7644;2605;7644;58287;81796
A Mezquita;11950;722;221;722;12171;16391
Frades;4776;3298;79;3298;4855;20026
Vilamarín;24178;425;517;425;24695;25015
Malpica de Bergantiños;54863;2663;2722;2663;57585;64049
Barro;29558;678;113;678;29670;29774
Baltar;17026;483;0;483;17026;19150
Sada;27454;8534;4549;8534;32003;72616
Boimorto;7523;692;0;692;7523;7523
O Incio;36005;711;0;711;36005;36862
Castroverde;52564;942;0;942;52564;54457
Paradela;31104;656;84;656;31188;32102
Begonte;16357;1023;89;1023;16447;18600
Irixoa;5521;1483;568;1483;6089;6551
A Guarda;18522;2207;1168;2207;19690;50738
A Gudiña;14063;1039;0;1039;14063;20318
A Teixeira;38;164;0;164;38;8368
Fisterra;13905;1522;6802;1522;20707;28865
Entrimo;19388;387;0;387;19388;19449
Vilar de Barrio;19725;431;305;431;20030;22845
Alfoz;8588;701;905;701;9493;9493
Oroso;11558;1816;481;1816;12039;21108
Ribas de Sil;10921;500;616;500;11537;17723
Laza;28334;790;653;790;28988;32858
Trazo;8497;1098;433;1098;8930;9758
Riós;35013;802;39;802;35052;35052
Bande;28766;579;0;579;28766;30128
Pol;40993;1200;29;1200;41022;41816
Montederramo;5415;680;232;680;5647;19751
Triacastela;12477;305;0;305;12477;13570
Viveiro;971;8153;11;8153;982;16315
As Pontes de García Rodríguez;15059;4068;170;4068;15229;44379
Coles;36181;594;0;594;36181;36425
A Peroxa;30912;899;2859;899;33771;33771
Corcubión;4768;326;514;326;5283;7847
A Pobra do Brollón;32430;845;0;845;32430;34084
Toques;12185;478;0;478;12185;12185
Beade;3072;54;0;54;3072;5692
Piñor;17496;474;0;474;17496;17496
Carballo;66010;3321;998;3321;67009;122204
Vigo;93637;17404;27557;17404;121194;560640
Carballedo;48824;858;0;858;48824;48824
A Pobra de Trives;0;636;608;636;608;33978
Gondomar;43146;1495;12968;1495;56114;59749
Cangas;41735;2847;21047;2847;62781;108032
Sarria;70513;2879;125;2879;70638;94623
Cerceda;3224;2835;194;2835;3418;17400
Valga;29597;736;0;736;29597;32891
Xunqueira de Ambía;17733;1488;0;1488;17733;19533
Vilar de Santos;13350;186;0;186;13350;14274
Teo;19127;6913;4249;6913;23376;37076
Cabanas;17075;2554;456;2554;17530;23836
San Cibrao das Viñas;33365;1700;73;1700;33438;35558
Muras;1512;810;0;810;1512;2343
A Pontenova;42038;1278;0;1278;42038;46562
Monfero;22242;1326;0;1326;22242;22242
Verea;27195;356;0;356;27195;27195
Rubiá;3816;768;0;768;3816;24029
A Pastoriza;72856;1444;0;1444;72856;76935
Miño;15639;5212;1238;5212;16877;35556
Coirós;5174;1999;6481;1999;11655;13334
Ribadumia;49717;878;6007;878;55725;59050
Navia de Suarna;44263;826;2003;826;46266;48048
Porqueira;18359;291;0;291;18359;19768
Pontevedra;152415;8422;5751;8422;158166;228310
San Xoán de Río;0;360;0;360;0;16855
Laxe;21626;1419;1338;1419;22964;31402
Sanxenxo;80852;2667;1432;2667;82284;89438
Sobrado;22230;941;1470;941;23700;23700
Melón;19260;501;462;501;19723;22182
Samos;21912;1132;0;1132;21912;22747
Foz;10353;1946;0;1946;10353;32295
Fornelos de Montes;23418;700;2151;700;25569;26612
A Coruña;0;55804;0;55804;0;269615
Lobios;29564;1025;954;1025;30519;30519
Verín;46859;1305;1096;1305;47955;71787
Ares;295;7369;19;7369;314;38144
As Somozas;2751;1808;0;1808;2751;3501
Vilariño de Conso;0;377;0;377;0;16001
Castro de Rei;56193;1698;0;1698;56193;59360
Meira;17141;355;0;355;17141;20474
Culleredo;11424;7980;7205;7980;18629;77464
Lugo;164918;24771;79;24771;164997;346585
Cabana de Bergantiños;52667;1192;1079;1192;53747;54233
Paderne de Allariz;23378;536;95;536;23474;23523
Allariz;18702;13212;1282;13212;19983;30145
A Illa de Arousa;2217;657;431;657;2648;15823
Betanzos;12208;4788;546;4788;12754;31399
Boqueixón;8768;1023;399;1023;9167;9167
Gomesende;17745;247;462;247;18207;18207
Arzúa;16715;3004;0;3004;16715;25035
Cortegada;18847;405;1216;405;20062;23078
Moaña;43575;1376;33355;1376;76930;88161
Val do Dubra;20154;1268;409;1268;20562;23797
Brión;22052;1695;434;1695;22486;30131
Lourenzá;18881;1022;0;1022;18881;21191
Tui;69750;3998;6358;3998;76108;89411
Esgos;16471;389;0;389;16471;16471
Dozón;16242;343;162;343;16403;16403
Poio;30625;3588;0;3588;30625;102656
Paderne;15010;2407;1588;2407;16598;22672
Baiona;18658;1330;1121;1330;19779;57297
Moeche;1973;2044;161;2044;2133;4196
Cartelle;47923;1151;76;1151;47999;48081
Ponteareas;133868;5887;3208;5887;137077;154012
O Pereiro de Aguiar;47805;1438;914;1438;48720;50755
Narón;8692;17579;3715;17579;12407;93185
Soutomaior;18003;669;1185;669;19188;26787
Cerdedo-Cotobade;73042;2068;5754;2068;78796;81165
Rianxo;58120;1756;251;1756;58372;65146
Castro Caldelas;0;661;646;661;646;29940
Bueu;22190;5762;32487;5762;54677;67670
O Saviñao;61117;1145;0;1145;61117;68120
Vedra;30904;2560;4563;2560;35467;37899
Vilardevós;35502;588;103;588;35605;37569
Petín;0;317;86;317;86;13439
Cervantes;42607;1291;385;1291;42992;44322
Vimianzo;63222;1959;1103;1959;64325;69472
Sandiás;13512;426;75;426;13587;15675
Láncara;39560;858;1021;858;40582;45152
Monforte de Lemos;61331;3608;397;3608;61728;97422
Lobeira;18884;317;0;317;18884;19629
Catoira;20007;537;573;537;20580;20580
Santa Comba;41175;1692;0;1692;41175;48241
Bergondo;8123;6841;2729;6841;10852;80339
Punxín;15227;224;865;224;16092;16092
Crecente;55166;747;2024;747;57190;57190
Vilaboa;29498;847;15546;847;45045;45045
Mondoñedo;27585;2002;90;2002;27675;35774
Boiro;27774;1799;2542;1799;30316;43009
Touro;16374;1139;24;1139;16398;17419
Padrón;29957;1311;3110;1311;33067;36558
Guitiriz;53894;3194;0;3194;53894;67492
Amoeiro;36080;441;211;441;36290;36290
Carballeda de Valdeorras;3309;574;80;574;3389;26110
Baños de Molgas;27080;1995;233;1995;27314;27948
O Rosal;6386;1449;0;1449;6386;79420
Friol;15155;15168;0;15168;15155;18110
Baleira;30778;698;66;698;30844;31821
Sober;49986;1521;68;1521;50054;51662
Valdoviño;25663;6389;2220;6389;27883;38120
Ponte Caldelas;23153;1500;293;1500;23446;33744
O Corgo;59360;1618;167;1618;59527;62508
Mugardos;5322;6313;348;6313;5670;30473
Dodro;16927;925;2126;925;19053;20052
Melide;28729;1939;18;1939;28746;51065
Caldas de Reis;40993;11017;558;11017;41551;47867
Vilagarcía de Arousa;26007;2286;814;2286;26820;112487
Outes;13835;2779;515;2779;14349;25588
A Laracha;43417;2524;2177;2524;45594;63045
Covelo;69563;2025;10668;2025;80230;81118
Celanova;43469;1927;223;1927;43692;49958
Marín;58122;973;20390;973;78512;86982
Vilarmaior;1453;1209;0;1209;1453;1453
Vilalba;99315;5059;137;5059;99452;115787
Xove;2546;1394;0;1394;2546;7459
