Paradas;25620;274;0;274;25620;30596
Iznatoraf;830;210;0;210;830;5884
Balanegra;410;234;0;234;410;11607
Castilléjar;0;411;0;411;0;32472
Vélez-Blanco;2434;1429;0;1429;2434;17129
Uleila del Campo;404;209;0;209;404;7409
La Lantejuela;2118;175;0;175;2118;21869
Gérgal;8437;930;0;930;8437;25312
Isla Mayor;5940;483;0;483;5940;29176
Cogollos de la Vega;0;550;0;550;0;11605
Jódar;9761;460;0;460;9761;38544
Alameda;3710;244;0;244;3710;22230
Antas;3310;761;0;761;3310;23502
Marmolejo;3498;946;0;946;3498;27915
Alicún;0;67;0;67;0;1563
Dúdar;0;81;0;81;0;5242
La Mojonera;1454;604;0;604;1454;33855
Villardompardo;38;91;0;91;38;4575
Turón;0;167;0;167;0;4963
Víznar;20;295;0;295;20;6755
Urrácal;80;46;33;46;113;2495
Monda;16331;835;0;835;16331;25653
Dos Hermanas;60343;7328;7726;7328;68068;301240
Lecrín;31;695;0;695;31;15106
Casariche;11192;484;0;484;11192;38541
Hinojosa del Duque;3668;944;0;944;3668;32235
Benamejí;1225;233;0;233;1225;16549
Iznalloz;0;1075;0;1075;0;29598
Coripe;765;217;0;217;765;7549
Huétor Vega;0;727;52;727;52;31212
El Pedroso;8801;255;58;255;8859;11636
Puerto Serrano;352;452;0;452;352;29290
Fuente Carreteros;3145;11;0;11;3145;3145
Maracena;0;1116;112;1116;112;42665
Cambil;2008;524;533;524;2541;11195
Cortes de Baza;96;814;0;814;96;40157
Frigiliana;3555;2214;0;2214;3555;14867
Valdelarco;724;76;95;76;819;3131
Villaluenga del Rosario;0;385;3768;385;3768;3768
Rincón de la Victoria;1862;5559;0;5559;1862;129149
Santa Olalla del Cala;1711;330;98;330;1809;12561
Huércal de Almería;2806;2463;158;2463;2964;69402
Quéntar;0;321;0;321;0;9280
San Juan del Puerto;6617;1564;0;1564;6617;25078
La Victoria;1187;150;0;150;1187;14480
Serón;2556;513;0;513;2556;15055
Soportújar;0;124;0;124;0;1654
Berrocal;215;113;36;113;251;2799
Montellano;16038;330;0;330;16038;35027
Atarfe;0;17985;0;17985;0;86431
Villafranca de Córdoba;5301;354;0;354;5301;19369
Luque;3580;400;0;400;3580;13039
Arjona;641;1518;0;1518;641;20280
Santa Fe de Mondújar;198;225;0;225;198;2515
Cañaveral de León;287;59;32;59;320;2913
Jérez del Marquesado;0;650;0;650;0;11080
Archidona;4104;1261;0;1261;4104;38622
Los Barrios;46174;3004;0;3004;46174;79141
Agrón;0;88;0;88;0;3953
Marinaleda;8549;182;0;182;8549;13537
Almodóvar del Río;28622;676;0;676;28622;48063
Calicasas;0;90;0;90;0;2532
El Ronquillo;2942;290;0;290;2942;11841
Conquista;1100;103;0;103;1100;3348
Benizalón;0;96;0;96;0;2323
Polopos;0;385;0;385;0;10489
Higuera de Calatrava;1103;77;0;77;1103;5192
Cantillana;2187;600;0;600;2187;39848
Benalmádena;19515;3450;4279;3450;23794;201415
Benalauría;2591;102;0;102;2591;2857
La Rambla;1638;437;0;437;1638;26416
Espeluy;499;97;0;97;499;6022
San Fernando;35689;6297;287;6297;35976;112480
Torre-Cardela;0;110;0;110;0;8640
