Llanera;24185;3152;0;3152;24185;51723
Valdés;110011;3839;1073;3839;111084;129850
Morcín;7762;782;1614;782;9375;9968
Cangas de Onís;18694;3568;356;3568;19050;22721
Villaviciosa;28905;3989;0;3989;28905;44995
Ribera de Arriba;4465;812;126;812;4590;4590
Santo Adriano;2373;770;1227;770;3600;4651
Siero;42707;12303;1343;12303;44051;92643
Cudillero;56002;2272;2711;2272;58713;59923
Ribadesella;24196;3200;46;3200;24242;39801
Yernes y Tameza;3436;729;0;729;3436;3436
Gijón/Xixón;11959;30039;1337;30039;13296;351429
Candamo;3605;448;0;448;3605;3605
Illas;771;380;833;380;1604;2340
Santa Eulalia de Oscos;10981;406;0;406;10981;11506
Piloña;25376;9971;939;9971;26314;32278
Cangas del Narcea;134939;3419;1728;3419;136667;146214
Mieres;45454;5007;305;5007;45760;71491
Ponga;7833;1764;514;1764;8347;13037
Navia;52963;2311;0;2311;52963;60589
Sobrescobio;12296;1138;0;1138;12296;12317
Lena;44444;5980;3322;5980;47766;58833
Quirós;28734;5091;204;5091;28938;28938
Bimenes;5443;4346;0;4346;5443;5443
Tineo;93204;2280;117;2280;93321;97038
Peñamellera Alta;9114;2156;0;2156;9114;9394
Pravia;13780;1031;0;1031;13780;20906
Degaña;8869;250;0;250;8869;8869
Cabrales;43;8759;59;8759;102;4734
Riosa;4811;478;953;478;5764;7748
Pesoz;5476;193;164;193;5640;5640
Tapia de Casariego;30363;1247;0;1247;30363;43099
Llangréu/Langreo;27064;14113;294;14113;27359;95119
Teverga;29235;875;1069;875;30304;30987
Cabranes;7159;502;628;502;7787;7787
Vegadeo;26265;1327;3935;1327;30199;35048
Coaña;26633;1102;0;1102;26633;27355
Taramundi;14184;2138;423;2138;14607;16384
Corvera de Asturias;15900;2004;0;2004;15900;38481
Castrillón;44274;3352;378;3352;44652;82066
Nava;21081;945;408;945;21489;28039
Ibias;38634;1323;333;1323;38966;38966
Salas;25413;1981;2042;1981;27455;36442
Gozón;22407;2222;33;2222;22440;39972
Soto del Barco;14976;729;0;729;14976;25430
San Tirso de Abres;9318;558;0;558;9318;9715
Caso;21339;3143;578;3143;21917;25472
Llanes;55000;10946;2560;10946;57560;80646
Colunga;28940;4738;540;4738;29481;42429
Sariego;7092;524;0;524;7092;8698
Villayón;17150;491;619;491;17769;17769
Ribadedeva;10536;760;431;760;10966;11596
Amieva;7480;692;1547;692;9028;9028
Somiedo;33515;2213;366;2213;33880;35193
Parres;8946;1395;504;1395;9450;15425
Onís;7220;2443;0;2443;7220;7220
Carreño;11360;2129;140;2129;11499;28838
Grandas de Salime;20533;731;0;731;20533;23420
Castropol;36803;1632;0;1632;36803;47603
Proaza;16267;839;140;839;16407;17076
Aller;22274;4328;1080;4328;23355;32938
Boal;12030;1424;0;1424;12030;14498
Grau/Grado;28565;2355;366;2355;28931;40792
San Martín de Oscos;12380;277;0;277;12380;12380
Illano;16712;638;1076;638;17787;17787
El Franco;11291;824;0;824;11291;18575
Villanueva de Oscos;7132;478;0;478;7132;7132
Las Regueras;6012;685;0;685;6012;6012
Peñamellera Baja;10238;843;0;843;10238;11478
Samartín del Rei Aurelio;23120;2369;192;2369;23312;42865
Noreña;1151;1318;172;1318;1323;17669
Belmonte de Miranda;12228;886;1326;886;13554;15527
Allande;41014;1449;34;1449;41048;42497
Laviana;25101;2724;987;2724;26088;35718
Muros de Nalón;6559;1522;0;1522;6559;15587
Avilés;28494;6175;2246;6175;30741;105415
Oviedo;76458;25324;3241;25324;79698;241077
Caravia;84;914;0;914;84;7975
