Sant Llorenç des Cardassar;5374;3612;99;3612;5473;61884
Sencelles;482;524;0;524;482;6935
Binissalem;1017;665;0;665;1017;22606
Llubí;5794;453;0;453;5794;14276
Alaior;2139;12177;0;12177;2139;50578
Esporles;8710;1618;0;1618;8710;35971
Algaida;3307;1688;409;1688;3716;23510
Artà;3315;2368;0;2368;3315;47915
Deià;1037;1292;0;1292;1037;6200
Andratx;6322;6013;0;6013;6322;85378
Santa Eulària des Riu;184605;7518;347;7518;184952;336028
Sóller;3159;7978;0;7978;3159;42951
Mancor de la Vall;787;277;0;277;787;5958
Llucmajor;11622;8030;97;8030;11719;157524
Santa Eugènia;1885;392;0;392;1885;6902
Lloret de Vistalegre;612;245;0;245;612;4147
Maó;13338;27077;466;27077;13804;92049
Marratxí;24772;5234;83;5234;24856;192216
Lloseta;1967;380;0;380;1967;14410
Sant Antoni de Portmany;118434;8852;58;8852;118492;171297
Sant Joan de Labritja;30650;4154;0;4154;30650;44884
Formentera;31419;3174;250;3174;31669;50829
es Migjorn Gran;2496;1909;0;1909;2496;10317
Petra;2508;1175;0;1175;2508;15946
Ciutadella;17191;29936;19;29936;17210;136001
Santanyí;22933;20829;420;20829;23353;130793
Escorca;4135;1633;0;1633;4135;6017
Palma;66258;27638;410;27638;66668;706163
Son Servera;7715;2004;185;2004;7900;49115
Ariany;378;363;0;363;378;8405
Alcúdia;13295;5443;7;5443;13303;95737
Santa Margalida;5926;2732;0;2732;5926;75328
Selva;1815;1102;0;1102;1815;14409
Vilafranca de Bonany;948;382;0;382;948;16505
sa Pobla;7783;1445;0;1445;7783;51692
Calvià;16103;16515;672;16515;16774;268149
Manacor;32295;19333;0;19333;32295;200953
Sant Lluís;2420;17351;0;17351;2420;70208
Capdepera;7868;4284;0;4284;7868;98355
Santa María del Camí;70;8690;0;8690;70;17848
Campanet;1641;631;0;631;1641;9615
Maria de la Salut;1445;423;0;423;1445;13230
Costitx;1456;273;0;273;1456;5105
Alaró;895;5388;0;5388;895;16418
Campos;6312;3205;0;3205;6312;69077
Pollença;14736;13769;1382;13769;16118;81035
Sant Joan;2362;614;0;614;2362;11987
Puigpunyent;2604;808;0;808;2604;14715
Fornalutx;194;1443;167;1443;361;1396
es Castell;61;7311;0;7311;61;28861
Felanitx;19975;4836;50;4836;20024;91590
Estellencs;1893;296;0;296;1893;3948
Valldemossa;9682;2623;205;2623;9887;19813
Búger;217;223;0;223;217;4969
Montuïri;3723;759;0;759;3723;12041
Inca;6367;2055;0;2055;6367;63835
es Mercadal;7780;9962;0;9962;7780;62165
Muro;3002;2436;0;2436;3002;40442
Sineu;4363;786;132;786;4495;19511
Banyalbufar;0;1090;0;1090;0;5639
Bunyola;2666;1916;0;1916;2666;40327
Ferreries;4200;3138;0;3138;4200;17020
Eivissa;13913;4870;99;4870;14012;73153
ses Salines;1715;1979;14;1979;1729;34098
Porreres;2359;997;163;997;2522;16219
Sant Josep de sa Talaia;119854;9168;632;9168;120486;234289
Consell;1288;395;0;395;1288;10738
