Santander;9234;50348;2279;50348;11512;276728
Camaleño;14057;1964;715;1964;14772;15781
Arenas de Iguña;4911;1326;61;1326;4972;19684
Valdeprado del Río;4182;708;95;708;4277;7938
Colindres;4127;677;0;677;4127;19921
Valdáliga;20632;1878;366;1878;20998;28863
Potes;214;1577;461;1577;675;7592
Castañeda;11677;535;117;535;11794;15756
Camargo;53037;2578;5667;2578;58704;113543
Corvera de Toranzo;19825;455;788;455;20612;23026
Entrambasaguas;0;3085;0;3085;0;25190
Udías;2388;178;173;178;2560;5670
Bareyo;4455;701;736;701;5190;27964
Piélagos;0;2783;1324;2783;1324;130020
Penagos;6600;1157;184;1157;6784;13466
Liérganes;551;1301;0;1301;551;15986
Santiurde de Reinosa;2336;283;0;283;2336;7539
Cabezón de la Sal;34182;1467;1931;1467;36113;45844
Alfoz de Lloredo;4476;781;124;781;4599;42452
Miera;1263;1245;152;1245;1416;5407
Tresviso;39;261;0;261;39;1109
Liendo;11140;317;1183;317;12323;17845
Selaya;893;359;89;359;983;9528
Los Tojos;2850;422;48;422;2898;3692
Castro-Urdiales;19163;8970;3024;8970;22187;91139
Vega de Pas;0;1188;0;1188;0;4534
Laredo;14921;3871;234;3871;15155;49861
Ampuero;8701;336;1591;336;10292;15045
Lamasón;3143;294;304;294;3447;4454
Herrerías;8992;677;59;677;9050;9346
Ruente;6256;1038;0;1038;6256;12191
Marina de Cudeyo;1041;1159;0;1159;1041;53535
Tudanca;4383;186;575;186;4959;5309
San Pedro del Romeral;0;323;0;323;0;8788
Campoo de Yuso;12242;761;13;761;12255;17890
Polanco;14424;671;3067;671;17490;24740
Meruelo;89;389;0;389;89;16575
San Vicente de la Barquera;2257;1180;204;1180;2461;19501
Vega de Liébana;4314;958;381;958;4694;18826
Mazcuerras;18164;514;678;514;18841;24774
Luena;5280;550;886;550;6166;7164
Cabezón de Liébana;7506;370;897;370;8403;13653
Rasines;791;308;145;308;936;2695
San Roque de Riomiera;0;1357;0;1357;0;443
Cieza;2439;228;716;228;3155;4269
Reocín;35940;1335;1670;1335;37610;49615
Bárcena de Cicero;0;898;0;898;0;35174
Santa Cruz de Bezana;24377;1175;10539;1175;34916;66677
Puente Viesgo;1578;1106;0;1106;1578;25586
Molledo;14222;1142;0;1142;14222;18324
Arredondo;5618;513;917;513;6536;9542
Valle de Villaverde;1632;444;0;444;1632;3298
Pesquera;0;118;0;118;0;1752
Ruesga;4401;785;718;785;5119;9833
Villacarriedo;0;435;0;435;0;19746
Hermandad de Campoo de Suso;10130;2086;628;2086;10758;28730
Limpias;2708;119;1193;119;3901;6108
Peñarrubia;7658;385;117;385;7775;9481
Bárcena de Pie de Concha;5288;205;0;205;5288;5288
Ramales de la Victoria;8031;2290;378;2290;8409;17437
Guriezo;0;994;0;994;0;19783
Valdeolea;5331;674;0;674;5331;18691
Val de San Vicente;13896;1492;322;1492;14218;28854
Arnuero;8200;1013;1163;1013;9363;35329
Hazas de Cesto;0;403;0;403;0;15020
Villaescusa;20775;919;174;919;20949;31058
Comillas;16597;886;1395;886;17992;26605
Santillana del Mar;23297;1335;3254;1335;26551;34277
Santa María de Cayón;0;6492;0;6492;0;38603
Solórzano;432;342;0;342;432;9252
Escalante;0;264;0;264;0;5027
Suances;11208;1429;2801;1429;14009;63417
Campoo de Enmedio;11760;1182;460;1182;12220;31717
Los Corrales de Buelna;0;9523;0;9523;0;48437
Cillorigo de Liébana;8580;895;0;895;8580;12034
Santiurde de Toranzo;13292;390;76;390;13368;19793
Voto;11599;602;684;602;12282;22671
Santoña;0;700;0;700;0;26297
Pesaguero;6019;231;1776;231;7795;9840
Polaciones;2701;307;914;307;3615;5608
Saro;0;156;0;156;0;3397
Valderredible;0;2455;0;2455;0;39253
Medio Cudeyo;1811;3508;281;3508;2093;35775
El Astillero;16031;991;1246;991;17277;38264
Rionansa;3773;934;184;934;3957;18601
Campoo-Cabuérniga;0;160;0;160;0;0
Cabuérniga;7844;629;0;629;7844;17359
Las Rozas de Valdearroyo;1004;443;0;443;1004;15458
Anievas;0;173;0;173;0;7592
Soba;2658;2438;0;2438;2658;26463
Noja;0;1787;0;1787;0;29827
Reinosa;4298;1125;1414;1125;5712;32336
Ribamontán al Mar;0;3752;0;3752;0;44259
Villafufre;7558;249;0;249;7558;15841
San Felices de Buelna;18894;1136;0;1136;18894;19538
San Miguel de Aguayo;717;193;0;193;717;1820
Miengo;8106;952;942;952;9048;30176
Cartes;12410;514;520;514;12931;17245
Torrelavega;0;24813;0;24813;0;128505
Ruiloba;9645;356;1540;356;11186;14785
Argoños;5727;374;2447;374;8174;25614
Riotuerto;3119;2516;164;2516;3283;18076
Ribamontán al Monte;3225;637;0;637;3225;15207
