Fabero;55;438;109;438;165;34384
Turcia;3040;398;0;398;3040;18431
Villadangos del Páramo;757;845;0;845;757;40835
Algadefe;5657;71;0;71;5657;6236
Santa Cristina de Valmadrigal;0;125;0;125;0;7123
Villarejo de Órbigo;11545;608;0;608;11545;31919
Puente de Domingo Flórez;1403;307;125;307;1527;14391
Fuentes de Carbajal;2054;73;0;73;2054;4464
Castrocalbón;14542;231;0;231;14542;14798
Palacios del Sil;201;941;0;941;201;16849
Villademor de la Vega;8322;70;0;70;8322;8322
Bembibre;6165;2023;485;2023;6650;52810
Corbillos de los Oteros;0;212;0;212;0;5628
Balboa;0;182;0;182;0;6481
Pajares de los Oteros;0;491;0;491;0;10311
San Andrés del Rabanedo;1400;3325;159;3325;1558;77662
Escobar de Campos;1784;33;0;33;1784;1784
Valdepolo;13317;851;0;851;13317;24671
Prado de la Guzpeña;4412;113;0;113;4412;4412
Cubillos del Sil;9535;863;0;863;9535;32797
Pobladura de Pelayo García;796;127;0;127;796;7540
Candín;0;244;0;244;0;11795
Bercianos del Páramo;9074;236;0;236;9074;12093
Boñar;10037;824;2599;824;12635;21290
Boca de Huérgano;9299;719;0;719;9299;12147
Cubillas de los Oteros;0;282;0;282;0;4657
Urdiales del Páramo;14733;218;0;218;14733;15478
Noceda del Bierzo;0;353;0;353;0;14052
Matallana de Torío;15246;346;0;346;15246;16954
Cebanico;5121;193;0;193;5121;5121
Chozas de Abajo;793;1097;0;1097;793;39723
San Emiliano;19000;1295;0;1295;19000;20340
Villasabariego;553;600;0;600;553;19411
Santa Marina del Rey;11147;736;0;736;11147;23282
Oencia;389;133;0;133;389;10492
Berlanga del Bierzo;0;955;0;955;0;9151
Corullón;1840;271;0;271;1840;16829
Toreno;1493;678;0;678;1493;34543
Villazala;7847;352;0;352;7847;12815
Villamandos;6902;98;0;98;6902;6902
Valderrey;5858;321;0;321;5858;13953
Benuza;899;295;0;295;899;14775
Santa María de la Isla;6923;70;0;70;6923;6923
Sahagún;11312;1195;0;1195;11312;25039
Cistierna;25005;672;79;672;25084;32970
La Bañeza;5833;926;0;926;5833;41897
Valdevimbre;0;572;0;572;0;18407
La Pola de Gordón;18702;1092;25;1092;18727;40976
La Vecilla;5662;93;0;93;5662;5662
Santiago Millas;9331;175;0;175;9331;12553
Mansilla Mayor;220;358;0;358;220;7145
Campazas;3965;106;0;106;3965;3965
Sobrado;0;171;0;171;0;8459
Valverde-Enrique;3073;127;0;127;3073;5792
Calzada del Coto;2106;245;0;245;2106;6242
Riego de la Vega;3466;343;0;343;3466;19360
Gordoncillo;6359;79;0;79;6359;6359
Regueras de Arriba;246;78;0;78;246;4275
Páramo del Sil;0;1230;143;1230;143;25441
Brazuelo;12372;593;0;593;12372;13880
Cimanes de la Vega;7941;163;0;163;7941;7941
Roperuelos del Páramo;2160;382;0;382;2160;11992
Vega de Valcarce;126;624;0;624;126;12191
Villaturiel;578;762;0;762;578;29848
Joarilla de las Matas;4557;134;0;134;4557;4862
Destriana;5421;161;0;161;5421;8868
Lucillo;16190;354;0;354;16190;16269
Crémenes;8362;2292;740;2292;9101;12105
Riaño;1536;698;366;698;1901;7369
Maraña;2375;283;0;283;2375;3195
Valdepiélago;7717;201;0;201;7717;10348
Congosto;2340;770;334;770;2674;18199
San Cristóbal de la Polantera;5581;223;0;223;5581;10271
Vallecillo;1314;102;0;102;1314;4592
Castrotierra de Valmadrigal;0;60;0;60;0;3813
Zotes del Páramo;2718;200;0;200;2718;10412
Villaobispo de Otero;6608;263;0;263;6608;11325
Garrafe de Torío;324;657;0;657;324;30442
Val de San Lorenzo;2777;210;0;210;2777;15083
Laguna de Negrillos;14431;276;0;276;14431;16251
Valderrueda;24265;634;0;634;24265;24465
El Burgo Ranero;9744;415;0;415;9744;17941
Villazanzo de Valderaduey;9935;158;0;158;9935;11022
