Fuentelapeña;0;265;0;265;0;8857
Villárdiga;0;54;0;54;0;1488
Entrala;1213;69;0;69;1213;1728
Arcos de la Polvorosa;2796;106;0;106;2796;2796
Friera de Valverde;0;104;0;104;0;5024
Faramontanos de Tábara;0;148;0;148;0;8297
El Maderal;1802;116;0;116;1802;3444
Torregamones;704;200;0;200;704;6838
Viñas;5649;99;0;99;5649;5649
Villafáfila;0;276;0;276;0;8967
Santa Clara de Avedillo;2184;54;0;54;2184;3431
Santovenia;7727;282;0;282;7727;8726
Santa Cristina de la Polvorosa;0;595;0;595;0;10423
Manganeses de la Polvorosa;0;278;0;278;0;9221
Rabanales;6975;401;84;401;7060;10068
Mayalde;301;103;0;103;301;3083
Carbellino;0;150;0;150;0;7015
Villaseco del Pan;0;117;0;117;0;6908
Jambrina;170;33;0;33;170;2697
Bretó;4994;250;0;250;4994;4994
Gallegos del Pan;0;184;0;184;0;2945
Muelas del Pan;0;460;0;460;0;17204
Castrogonzalo;0;346;0;346;0;10172
Matilla de Arzón;2969;95;0;95;2969;2969
Burganes de Valverde;4018;338;0;338;4018;12520
Cazurra;0;55;0;55;0;1714
Porto;1917;261;0;261;1917;5059
Asturianos;5486;260;0;260;5486;10457
Fresno de Sayago;0;81;0;81;0;5434
Requejo;0;477;0;477;0;3945
Villaralbo;0;269;0;269;0;16286
Villadepera;0;110;0;110;0;6793
Rábano de Aliste;5602;175;0;175;5602;5602
Justel;1067;72;0;72;1067;4379
Valdescorriel;4445;105;0;105;4445;4445
Pinilla de Toro;5305;57;0;57;5305;5305
Villamayor de Campos;1837;113;0;113;1837;6645
Palacios de Sanabria;5461;264;0;264;5461;10639
Videmala;0;64;0;64;0;4404
Peleas de Abajo;0;53;0;53;0;2922
Arrabalde;0;162;0;162;0;5915
Villabuena del Puente;0;146;0;146;0;11779
Otero de Bodas;2053;145;0;145;2053;5327
Pedralba de la Pradería;7187;504;0;504;7187;9091
Coreses;0;378;0;378;0;17952
Fuentesaúco;0;465;0;465;0;14979
Villavendimio;0;94;0;94;0;3334
Montamarta;0;214;0;214;0;9157
Vadillo de la Guareña;0;122;0;122;0;5571
