Palau-sator;0;618;0;618;0;3271
Riner;0;489;0;489;0;1784
el Prat de Llobregat;204;10783;0;10783;204;69160
Sant Esteve de Palautordera;439;344;0;344;439;16473
Verdú;0;695;0;695;0;6527
Vilafant;351;1256;0;1256;351;29114
Regencós;339;109;0;109;339;2179
Massanes;68;250;0;250;68;10647
Sant Miquel de Campmajor;0;779;0;779;0;1101
Fígols i Alinyà;0;628;0;628;0;3438
Olesa de Bonesvalls;0;413;0;413;0;26062
Navàs;0;1421;0;1421;0;22058
Gavà;205;3016;0;3016;205;73028
Lleida;606;11895;38;11895;644;229375
Vilaür;0;327;0;327;0;1995
Banyoles;0;5137;262;5137;262;65388
Campelles;0;136;0;136;0;2048
el Brull;42;782;0;782;42;1106
Garrigoles;0;228;0;228;0;2194
Vespella de Gaià;27;143;0;143;27;8042
Riu de Cerdanya;0;213;0;213;0;1426
Naut Aran;88;3641;537;3641;625;24666
Torrent;0;376;0;376;0;2566
Montagut i Oix;147;1315;90;1315;237;5469
Preixana;1019;220;0;220;1019;4018
Das;0;267;0;267;0;7313
Torrelavit;0;445;0;445;0;6246
Santa Bàrbara;0;1006;0;1006;0;33838
Capellades;0;253;0;253;0;15271
Alpens;0;162;693;162;693;3798
Sant Pere de Torelló;0;1148;0;1148;0;13004
Alfarràs;0;1215;0;1215;0;11515
Solsona;285;3059;0;3059;285;33903
Nalec;316;143;0;143;316;1762
Tordera;322;2427;131;2427;453;98461
Cubelles;0;1381;0;1381;0;75283
Lluçà;0;401;0;401;0;1057
Pontons;0;426;0;426;0;6911
Vilanova i la Geltrú;0;34289;17;34289;17;149887
Santa Oliva;0;498;0;498;0;24128
Matadepera;71;2511;0;2511;71;88134
Granollers;4842;9126;0;9126;4842;95363
Sant Quirze del Vallès;1664;2098;266;2098;1930;91026
Alella;280;728;0;728;280;55481
Salomó;0;171;0;171;0;4753
Sant Feliu de Guíxols;397;10661;325;10661;723;87771
Fontanals de Cerdanya;0;607;150;607;150;14186
Salt;0;1402;0;1402;0;30872
Valls;2770;1783;0;1783;2770;82584
Montferri;0;229;0;229;0;3142
Vilabertran;0;177;0;177;0;2777
Sant Ferriol;0;706;94;706;94;286
la Pobla de Massaluca;393;166;0;166;393;2449
Castell-Platja d'Aro;339;6431;313;6431;652;109768
Torroja del Priorat;574;105;0;105;574;2134
Planoles;0;298;0;298;0;5500
Talarn;0;810;0;810;0;7093
Montoliu de Lleida;369;125;0;125;369;4935
Vilaplana;0;498;0;498;0;2305
Susqueda;0;376;0;376;0;225
Clariana de Cardener;0;460;0;460;0;293
la Morera de Montsant;0;778;0;778;0;2110
Montferrer i Castellbò;0;1225;0;1225;0;18053
Sant Esteve de la Sarga;0;709;0;709;0;2846
Santa Coloma de Farners;329;3689;0;3689;329;53469
Prat de Comte;0;156;0;156;0;1941
Tavèrnoles;0;280;0;280;0;4427
l'Albiol;988;236;0;236;988;6189
Granera;0;515;0;515;0;1465
Solivella;0;1098;0;1098;0;4601
Jafre;15;126;0;126;15;3746
Santa Pau;0;1685;75;1685;75;6861
el Bruc;0;1172;0;1172;0;21271
Pinell de Solsonès;55;616;0;616;55;472
Sant Boi de Lluçanès;136;270;1177;270;1313;6642
Aiguamúrcia;1242;740;66;740;1308;17202
Seva;970;948;0;948;970;54585
Santa Maria de Merlès;0;632;0;632;0;159
Font-rubí;0;565;0;565;0;8351
Caldes de Malavella;693;1572;0;1572;693;75394
Crespià;0;242;27;242;27;2589
Vidreres;573;4472;0;4472;573;72859
es Bòrdes;0;397;0;397;0;2549
Ogassa;0;337;0;337;0;2650
Canejan;0;780;0;780;0;904
Alins;0;1668;11;1668;11;4409
Vinyols i els Arcs;142;783;0;783;142;9170
Biosca;0;858;0;858;0;2516
Farrera;0;472;0;472;0;2182
Sant Pere Pescador;65;1489;0;1489;65;16964
Montblanc;3311;3821;149;3821;3461;35351
la Coma i la Pedra;0;819;0;819;0;13264
Roda de Ter;72;244;0;244;72;20973
Fonollosa;0;2221;0;2221;0;16551
Puigverd d'Agramunt;258;296;0;296;258;2596
Palau de Santa Eulàlia;0;396;0;396;0;1524
Madremanya;0;135;371;135;371;2760
Flix;3495;1987;0;1987;3495;21417
Vilallonga del Camp;31;166;0;166;31;9436
Cadaqués;0;2909;0;2909;0;30445
Sant Aniol de Finestres;0;822;154;822;154;1621
