Valdemorillo;3756;7834;625;7834;4381;115969
Arganda del Rey;16995;6968;1263;6968;18258;146823
Villaviciosa de Odón;5068;2972;347;2972;5415;133472
Collado Mediano;1247;760;0;760;1247;46225
Batres;929;287;0;287;929;17227
Olmeda de las Fuentes;248;389;0;389;248;4678
Villalbilla;2302;3789;0;3789;2302;107531
Guadalix de la Sierra;2656;608;0;608;2656;37133
Alcalá de Henares;26879;21779;403;21779;27282;295013
Majadahonda;1190;5161;0;5161;1190;150073
Valdilecha;366;440;0;440;366;10427
Becerril de la Sierra;977;1028;0;1028;977;52004
Talamanca de Jarama;1649;431;0;431;1649;22078
Villamanta;15;870;0;870;15;15924
Lozoya;702;316;501;316;1204;7858
Moraleja de Enmedio;369;773;0;773;369;19283
Torrejón de Ardoz;5543;13889;64;13889;5607;124807
El Berrueco;917;827;0;827;917;7478
Collado Villalba;316;7711;0;7711;316;118938
Villamanrique de Tajo;964;216;0;216;964;11026
Navalcarnero;13787;2278;0;2278;13787;95493
San Agustín del Guadalix;3354;957;170;957;3524;40909
Algete;8696;1485;168;1485;8864;68609
Los Santos de la Humosa;436;886;12;886;449;16676
Horcajo de la Sierra-Aoslos;278;153;0;153;278;1905
Pinilla del Valle;439;201;0;201;439;4491
San Sebastián de los Reyes;13822;6772;1933;6772;15756;139976
Titulcia;5458;283;0;283;5458;8210
Patones;412;595;62;595;474;4255
Ciempozuelos;1918;1278;0;1278;1918;48781
Leganés;10273;18825;714;18825;10987;198802
Miraflores de la Sierra;4673;1355;0;1355;4673;54073
Morata de Tajuña;2398;2167;0;2167;2398;27122
Navacerrada;2942;2074;99;2074;3041;24012
Pezuela de las Torres;198;302;0;302;198;9135
Paracuellos de Jarama;4694;4972;678;4972;5372;106877
Villavieja del Lozoya;2034;169;487;169;2521;6450
Tielmes;90;368;0;368;90;11174
Horcajuelo de la Sierra;671;178;0;178;671;1862
Moralzarzal;3036;1413;0;1413;3036;75855
Colmenar del Arroyo;1758;1076;0;1076;1758;15440
Piñuécar-Gandullas;1535;181;0;181;1535;6141
Quijorna;2079;396;0;396;2079;23589
Villar del Olmo;300;515;0;515;300;16122
Prádena del Rincón;437;107;0;107;437;2906
Sevilla la Nueva;335;6732;0;6732;335;37764
Fresnedillas de la Oliva;272;1276;0;1276;272;11203
Humanes de Madrid;1808;5120;0;5120;1808;28773
Belmonte de Tajo;91;320;0;320;91;10978
Valdemaqueda;0;603;0;603;0;15972
Valverde de Alcalá;0;364;0;364;0;4447
Nuevo Baztán;1297;2586;0;2586;1297;81169
Anchuelo;122;221;0;221;122;8069
Ambite;240;268;0;268;240;18422
San Martín de la Vega;7659;13158;0;13158;7659;81377
Venturada;1332;403;0;403;1332;31016
