Paradas;25608;270;0;270;25608;29938
Iznatoraf;830;210;0;210;830;5884
Balanegra;470;126;0;126;470;11591
Castilléjar;0;405;0;405;0;32472
Vélez-Blanco;2434;1429;0;1429;2434;17129
Uleila del Campo;404;209;0;209;404;7409
La Lantejuela;2118;175;0;175;2118;21869
Gérgal;8591;925;0;925;8591;25298
Isla Mayor;5940;491;0;491;5940;29176
Cogollos de la Vega;0;550;0;550;0;11605
Jódar;9761;459;0;459;9761;38544
Alameda;3710;244;0;244;3710;22230
Antas;9389;755;0;755;9389;23441
Marmolejo;3498;916;0;916;3498;27913
Alicún;0;67;0;67;0;1563
Dúdar;0;74;0;74;0;5242
La Mojonera;1596;603;0;603;1596;33855
Villardompardo;38;91;0;91;38;4575
Turón;0;145;0;145;0;4963
Víznar;20;283;0;283;20;6755
Urrácal;80;37;0;37;80;2461
Monda;16331;834;0;834;16331;25652
Dos Hermanas;64271;6504;3309;6504;67579;298448
Lecrín;31;695;0;695;31;15106
Casariche;11192;484;0;484;11192;38541
Hinojosa del Duque;3668;933;0;933;3668;32235
Benamejí;1225;233;0;233;1225;16549
Iznalloz;0;1072;0;1072;0;29598
Coripe;765;190;0;190;765;7549
Huétor Vega;9;659;49;659;58;52689
El Pedroso;8801;248;58;248;8859;11636
Puerto Serrano;352;425;0;425;352;29290
Fuente Carreteros;3145;11;0;11;3145;3145
Maracena;0;1116;112;1116;112;42665
Cambil;2008;498;533;498;2541;11199
Cortes de Baza;96;812;0;812;96;40157
Frigiliana;3846;1571;0;1571;3846;14442
Valdelarco;724;73;95;73;819;3131
Villaluenga del Rosario;0;385;3768;385;3768;3768
Rincón de la Victoria;1868;5522;0;5522;1868;129172
Santa Olalla del Cala;1711;333;98;333;1809;12561
Huércal de Almería;3062;2437;158;2437;3220;69402
Quéntar;0;283;0;283;0;8302
San Juan del Puerto;6548;1537;0;1537;6548;25251
La Victoria;1113;149;0;149;1113;14407
Serón;3034;511;0;511;3034;15108
Soportújar;0;123;0;123;0;1654
Berrocal;2641;101;0;101;2641;2641
Montellano;16040;329;0;329;16040;35038
Atarfe;0;17581;0;17581;0;89794
Villafranca de Córdoba;5301;354;0;354;5301;19373
Luque;3580;396;0;396;3580;13039
Arjona;641;1492;0;1492;641;20277
Santa Fe de Mondújar;176;223;0;223;176;2543
Cañaveral de León;887;53;0;53;887;2780
Jérez del Marquesado;0;604;0;604;0;11080
Archidona;4104;1204;0;1204;4104;38622
Los Barrios;46174;2901;0;2901;46174;79141
Agrón;0;88;0;88;0;3953
Marinaleda;8549;182;0;182;8549;13537
Almodóvar del Río;28622;672;0;672;28622;48063
Calicasas;0;90;0;90;0;2532
El Ronquillo;2942;289;0;289;2942;11841
Conquista;1100;97;0;97;1100;3348
Benizalón;0;96;0;96;0;2323
Polopos;0;351;0;351;0;10489
Higuera de Calatrava;1103;77;0;77;1103;5192
Cantillana;2187;590;0;590;2187;39872
Benalmádena;19788;3150;4279;3150;24067;200371
Benalauría;2591;101;0;101;2591;2857
La Rambla;1638;437;0;437;1638;26416
Espeluy;499;96;0;96;499;6022
San Fernando;35771;6259;287;6259;36059;112477
Torre-Cardela;0;110;0;110;0;8640
Olivares;1221;729;0;729;1221;31113
Bayárcal;733;219;0;219;733;3162
Laroya;12;37;0;37;12;1680
Gines;1668;4031;37;4031;1704;45879
Padul;0;1257;0;1257;0;64036
Torrox;16987;5945;0;5945;16987;58868
Guadahortuna;0;209;0;209;0;10770
Carcabuey;1063;167;0;167;1063;9802
Castilleja del Campo;797;68;0;68;797;3274
Albuñol;0;906;0;906;0;25886
Baza;0;2183;0;2183;0;102343
Las Navas de la Concepción;6735;74;0;74;6735;6735
Frailes;1061;141;0;141;1061;10881
Bollullos de la Mitación;2064;1349;0;1349;2064;63787
Pinos Genil;6;240;0;240;6;9897
Caniles;124;873;0;873;124;46642
Lentegí;0;106;0;106;0;2555
Alhaurín el Grande;47229;1003;0;1003;47229;78533
Gelves;9589;504;91;504;9680;39168
El Cuervo de Sevilla;9252;538;0;538;9252;41320
Cacín;0;172;0;172;0;8253
Aljaraque;16559;1741;283;1741;16842;133743
Torreperogil;3973;466;691;466;4664;30116
Fernán-Núñez;3804;371;0;371;3804;33317
Alhama de Almería;1925;291;0;291;1925;15398
El Valle;9;314;0;314;9;11396
Cádiar;0;414;34;414;34;11861
Villanueva del Arzobispo;1478;1733;84;1733;1563;17313
Villablanca;2569;256;192;256;2761;7896
Purchena;1571;322;0;322;1571;10955
Segura de la Sierra;4704;538;0;538;4704;16342
Ítrabo;0;226;0;226;0;6281
Cortes y Graena;0;251;0;251;0;13597
La Granjuela;513;102;0;102;513;4077
Bayarque;65;76;0;76;65;2846
Cúllar;31;1164;0;1164;31;50390
San Silvestre de Guzmán;1537;104;0;104;1537;4923
Fines;1221;197;0;197;1221;24380
Montizón;162;231;0;231;162;15032
Alcolea;658;329;0;329;658;5448
La Rinconada;30990;4588;9985;4588;40975;141273
Chipiona;39192;2150;405;2150;39598;98071
Aguadulce;10118;131;0;131;10118;10118
Albaida del Aljarafe;290;283;0;283;290;10486
Fuerte del Rey;303;159;0;159;303;9415
Higuera de la Sierra;1508;164;0;164;1508;7382
Pegalajar;1285;257;0;257;1285;14010
Puerto Moral;294;51;0;51;294;2164
Olula de Castro;0;136;0;136;0;3392
Arahal;16371;1901;8587;1901;24958;81456
Los Marines;2517;110;0;110;2517;2517
Sorihuela del Guadalimar;153;256;0;256;153;11070
Puente de Génave;6961;705;0;705;6961;18726
Alcóntar;2071;147;142;147;2213;6664
Alozaina;1215;352;0;352;1215;10353
La Calahorra;0;309;0;309;0;11074
La Granada de Río-Tinto;3153;73;0;73;3153;5001
Valle del Zalabí;27;579;0;579;27;25293
Alosno;22460;392;0;392;22460;22460
Láchar;0;306;0;306;0;33648
Beas de Segura;3495;487;31;487;3526;20574
Sanlúcar de Barrameda;126801;2761;899;2761;127700;219577
Santiago de Calatrava;211;119;0;119;211;4453
Nigüelas;0;291;0;291;0;21203
Cijuela;0;169;0;169;0;20583
Montilla;8501;1232;0;1232;8501;55143
Torre del Campo;9382;916;0;916;9382;49939
Alcalá la Real;31409;1920;518;1920;31928;83443
Churriana de la Vega;0;621;0;621;0;43706
Fuente Vaqueros;59;364;0;364;59;28862
Alájar;2424;268;0;268;2424;6597
Trigueros;9115;309;0;309;9115;26797
Busquístar;0;147;0;147;0;3242
Obejo;896;311;0;311;896;9967
Alcaucín;10608;2058;0;2058;10608;22368
Castellar;760;291;0;291;760;17786
Santo Tomé;272;555;0;555;272;15348
Beires;26;60;0;60;26;1887
Monturque;617;153;0;153;617;7394
Fonelas;0;147;0;147;0;9662
El Rubio;6842;126;0;126;6842;17252
Benahadux;1522;377;53;377;1575;16693
Cardeña;3673;479;0;479;3673;9564
Dos Torres;4770;314;0;314;4770;18433
Puerto Real;37318;3974;3460;3974;40778;121779
Cabra del Santo Cristo;1906;192;0;192;1906;9562
La Peza;0;290;0;290;0;10693
Huesa;935;521;0;521;935;13292
La Puebla de los Infantes;2396;238;0;238;2396;15515
Paymogo;1138;86;0;86;1138;5464
Lora de Estepa;1558;185;0;185;1558;11080
Los Guájares;0;362;0;362;0;9171
Gobernador;0;115;0;115;0;3849
Júzcar;171;157;0;157;171;2233
El Garrobo;3031;273;0;273;3031;9454
Pulianas;27;643;0;643;27;23027
Porcuna;3715;350;0;350;3715;31106
Lanteira;0;119;0;119;0;6277
Roquetas de Mar;25021;4316;414;4316;25435;267493
Cazalilla;781;89;0;89;781;5344
Dólar;15;330;0;330;15;9510
Benitagla;0;35;0;35;0;1647
Vélez de Benaudalla;7;744;0;744;7;18187
