Bordón;275;86;0;86;275;2562
Albeta;1101;27;0;27;1101;1101
Loscos;675;87;0;87;675;3209
Talamantes;0;78;0;78;0;1468
Ejea de los Caballeros;35914;1500;0;1500;35914;93383
Valjunquera / Valljunquera;630;193;0;193;630;4303
Las Parras de Castellote;1393;67;0;67;1393;2589
Vistabella;1592;25;0;25;1592;1592
Monreal de Ariza;1303;211;0;211;1303;3131
Torre la Ribera;425;183;0;183;425;425
Lalueza;10362;229;0;229;10362;14953
Cañada Vellida;34;43;0;43;34;1235
San Martín del Río;382;130;0;130;382;3611
Laspaúles;1598;136;294;136;1892;1934
Ababuj;183;33;0;33;183;1798
Frías de Albarracín;0;489;0;489;0;182
Cucalón;0;38;0;38;0;1983
El Cuervo;78;50;0;50;78;2329
Escucha;3068;173;469;173;3538;10455
Lumpiaque;11502;113;0;113;11502;11502
Castillazuelo;1019;85;0;85;1019;1948
Puértolas;2106;332;0;332;2106;2320
Colungo;1259;154;0;154;1259;1361
Allepuz;647;392;0;392;647;2566
Pina de Ebro;3434;786;0;786;3434;14797
Linares de Mora;1425;141;0;141;1425;4662
Jarque de Moncayo;3978;44;0;44;3978;3978
Valtorres;0;72;39;72;39;2378
Ateca;1295;377;0;377;1295;8741
Orihuela del Tremedal;2016;218;0;218;2016;10752
Nuez de Ebro;2657;69;161;69;2817;9828
Peralta de Alcofea;7921;105;0;105;7921;8351
Bárboles;1464;210;0;210;1464;3443
Valdelinares;716;227;0;227;716;2306
Martín del Río;525;111;0;111;525;4261
Moyuela;3847;53;219;53;4066;4348
Belver de Cinca;1643;143;93;143;1736;7094
Estercuel;1604;91;286;91;1889;4097
Villanova;291;79;0;79;291;926
Cabolafuente;3075;87;0;87;3075;4625
Santa María de Dulcis;1557;69;0;69;1557;1557
Senés de Alcubierre;0;489;0;489;0;1093
Cosuenda;40;1429;0;1429;40;4853
La Almunia de Doña Godina;2991;1147;0;1147;2991;24216
Bardallur;869;96;0;96;869;1993
Torralbilla;1346;28;0;28;1346;1346
Villarreal de Huerva;2856;105;0;105;2856;2856
Munébrega;1659;126;0;126;1659;4297
Valle de Bardají;1429;61;0;61;1429;1429
La Muela;16480;1553;1560;1553;18039;51796
Cadrete;4382;388;128;388;4511;39515
Albarracín;637;2911;202;2911;839;9747
Toril y Masegoso;0;44;0;44;0;808
Maluenda;1336;134;46;134;1382;5674
Cabra de Mora;159;460;0;460;159;1183
Benabarre;2797;619;0;619;2797;9874
Villafranca de Ebro;5722;195;0;195;5722;5722
Rubielos de Mora;3601;727;0;727;3601;8767
Puendeluna;247;12;0;12;247;247
Longás;100;39;0;39;100;701
Villafeliche;1983;61;0;61;1983;1983
Almudévar;3348;1765;0;1765;3348;25566
Calmarza;120;102;0;102;120;1313
Sisamón;2111;107;0;107;2111;3639
Farlete;205;231;0;231;205;5650
Tramacastiel;501;56;0;56;501;2165
Villadoz;0;111;0;111;0;1556
Fuendejalón;5171;136;0;136;5171;6535
Luesma;0;89;0;89;0;1512
Azara;1352;39;0;39;1352;1352
Herrera de los Navarros;860;139;54;139;913;4827
Mediana de Aragón;4842;210;0;210;4842;4842
Graus;4465;1410;2028;1410;6493;14409
Alquézar;2863;397;0;397;2863;4474
Obón;1189;91;0;91;1189;2798
Salillas;0;122;0;122;0;1510
Segura de los Baños;508;54;0;54;508;2346
Palo;602;31;0;31;602;602
Esplús;1442;87;79;87;1521;4898
Hinojosa de Jarque;2044;96;0;96;2044;3686
Monroyo / Montroig;1212;209;0;209;1212;3765
Mainar;1705;76;0;76;1705;2113
Bailo;2079;485;37;485;2116;5225
Alfamén;12327;152;0;152;12327;12327
Pitarque;95;39;0;39;95;1600
Tornos;1309;253;0;253;1309;4244
El Pueyo de Araguás;90;345;0;345;90;366
Aísa;2588;419;0;419;2588;5491
Pastriz;470;789;0;789;470;5027
Ibdes;4732;484;0;484;4732;8047
Fuentes de Ebro;5429;1247;53;1247;5482;24480
Villanúa;3430;551;496;551;3927;13024
Banastás;0;496;0;496;0;3742
Grisel;43;43;0;43;43;832
Ontiñena;2393;102;0;102;2393;4819
Caldearenas;938;564;0;564;938;4325
Lascellas-Ponzano;1261;188;0;188;1261;2866
Noguera de Albarracín;404;53;0;53;404;2530
Castejón de Alarba;1170;82;0;82;1170;1951
Loscorrales;46;259;0;259;46;1240
Albalate de Cinca;4736;374;270;374;5006;8376
Bureta;3488;59;0;59;3488;3488
Fonfría;36;36;0;36;36;1167
Valmadrid;939;83;0;83;939;1799
Hoz de Jaca;211;384;0;384;211;3117
Berrueco;494;46;0;46;494;1448
Alacón;661;84;0;84;661;3483
Orrios;473;35;0;35;473;2198
Blesa;450;107;0;107;450;3739
Yebra de Basa;128;628;0;628;128;1681
Castiliscar;1036;128;0;128;1036;4319
Sestrica;2314;119;0;119;2314;3149
Fayón / Faió;6908;188;0;188;6908;6908
Torremocha de Jiloca;110;81;0;81;110;2988
Novallas;6431;39;0;39;6431;6431
Cerveruela;28;23;0;23;28;661
Uncastillo;4003;176;0;176;4003;6138
Torres de Berrellén;2429;218;0;218;2429;7911
Torla-Ordesa;2169;1508;0;1508;2169;3960
Visiedo;679;44;0;44;679;3307
Pozondón;218;73;0;73;218;1324
Albero Alto;258;166;0;166;258;2166
Benasque;7023;1957;0;1957;7023;11487
Langa del Castillo;2303;48;0;48;2303;2303
Luna;1420;873;0;873;1420;7811
Jatiel;1079;14;0;14;1079;1079
Santa Cruz de Grío;992;14;0;14;992;992
Bordalba;46;85;0;85;46;2214
Alloza;4204;112;380;112;4584;10277
Adahuesca;285;90;0;90;285;1311
Sopeira;2763;168;0;168;2763;2763
Grañén;6513;859;0;859;6513;16954
Seira;545;358;0;358;545;990
Marracos;1059;24;0;24;1059;1059
Romanos;59;120;0;120;59;2167
Torralba de Aragón;939;309;0;309;939;1693
Sesa;0;217;0;217;0;2239
Quinto;876;275;0;275;876;8450
Santa Cruz de la Serós;1803;200;0;200;1803;2644
Las Cuerlas;173;60;0;60;173;1417
Torralba de Ribota;201;58;0;58;201;2516
Singra;375;186;0;186;375;2685
Cinco Olivas;132;45;0;45;132;2183
Jaca;11130;9407;780;9407;11910;80312
Híjar;1861;409;0;409;1861;10775
Odón;389;83;0;83;389;2910
Gotor;2134;31;281;31;2415;2415
Rillo;442;57;0;57;442;1917
Pozuel de Ariza;373;65;0;65;373;1701
La Cuba;579;33;0;33;579;1923
Almonacid de la Sierra;7011;170;0;170;7011;8642
Utebo;5352;1006;0;1006;5352;34763
Tella-Sin;1780;334;0;334;1780;1780
Sediles;203;77;703;77;906;906
Paniza;3901;129;0;129;3901;3901
Mallén;10698;330;6959;330;17656;17743
Mirambel;999;119;0;119;999;1694
Alborge;1187;37;102;37;1289;2071
Ambel;4623;74;0;74;4623;4623
Igriés;813;1282;0;1282;813;4151
Guadalaviar;801;468;0;468;801;4577
Gurrea de Gállego;2217;617;150;617;2366;16413
Artieda;652;96;0;96;652;1126
Los Fayos;2321;43;0;43;2321;2321
Olba;1555;1457;0;1457;1555;4475
Fraga;5636;3244;33;3244;5669;51769
Villar de los Navarros;1985;50;0;50;1985;1985
Muel;12265;731;0;731;12265;20278
Castejón de Valdejasa;3452;108;0;108;3452;3695
Tardienta;7040;910;0;910;7040;7360
Bisaurri;2238;198;0;198;2238;2517
Osso de Cinca;686;64;0;64;686;4405
Encinacorba;3017;43;0;43;3017;3017
Urrea de Jalón;1293;73;0;73;1293;1293
Trasmoz;2351;43;0;43;2351;2553
La Fresneda / la Freixneda;3484;128;0;128;3484;3984
Villalba de Perejil;1402;45;0;45;1402;1402
Sigüés;2689;485;108;485;2797;2827
Plenas;2812;26;0;26;2812;2812
Caminreal;694;228;0;228;694;7387
Isábena;1370;705;0;705;1370;4154
Jaulín;1391;104;153;104;1544;3669
Nigüella;1548;50;0;50;1548;1548
Tolva;1598;81;0;81;1598;2206
Alpeñés;0;19;0;19;0;669
Monterde de Albarracín;174;27;0;27;174;2102
Valdeltormo / La Vall del Tormo;157;109;0;109;157;4186
Cariñena;15804;426;271;426;16075;23641
Candasnos;531;349;0;349;531;6603
Torrecilla de Alcañiz;4515;79;0;79;4515;4515
Peralta de Calasanz;2658;223;391;223;3049;4675
Calomarde;0;375;0;375;0;34
Biota;7529;178;0;178;7529;7529
Alcalá de Gurrea;0;590;0;590;0;4567
Bujaraloz;2332;260;0;260;2332;8430
Camarena de la Sierra;1005;262;264;262;1269;3775
Canal de Berdún;2157;523;0;523;2157;6600
Baells;1044;66;0;66;1044;1412
Torrevelilla / Torre de Vilella;2900;64;0;64;2900;2900
Sahún;1601;540;0;540;1601;4025
Torrelacárcel;755;132;0;132;755;6610
Santa Cruz de Moncayo;1687;18;0;18;1687;1687
Cetina;6509;316;0;316;6509;13732
Peñalba;2455;316;125;316;2580;5106
Monflorite-Lascasas;0;1751;0;1751;0;3887
Azuara;0;179;0;179;0;6768
Paracuellos de la Ribera;0;65;0;65;0;2215
Morés;2377;92;0;92;2377;2377
Belchite;1163;460;98;460;1261;12213
Anadón;45;35;0;35;45;689
Monegrillo;780;200;31;200;811;5361
Plou;39;42;0;42;39;882
Alhama de Aragón;72;290;0;290;72;4445
Castelserás;0;159;0;159;0;8170
Lagueruela;136;45;0;45;136;1938
Panticosa;3771;1958;249;1958;4020;11758
Agüero;1803;169;0;169;1803;3715
Tramaced;0;124;0;124;0;1535
Argente;1684;140;0;140;1684;6162
Bañón;224;98;0;98;224;3010
Blancas;447;81;0;81;447;3103
