Fabero;21004;402;0;402;21004;38253
Turcia;3040;398;0;398;3040;18431
Villadangos del Páramo;757;838;0;838;757;40835
Algadefe;5657;71;0;71;5657;6236
Santa Cristina de Valmadrigal;0;125;0;125;0;7123
Villarejo de Órbigo;11545;593;0;593;11545;31919
Puente de Domingo Flórez;11936;293;125;293;12061;15676
Fuentes de Carbajal;2054;73;0;73;2054;4464
Castrocalbón;14542;231;0;231;14542;14798
Palacios del Sil;17473;851;0;851;17473;17746
Villademor de la Vega;8322;70;0;70;8322;8322
Bembibre;15052;1895;486;1895;15539;52548
Corbillos de los Oteros;0;212;0;212;0;5628
Balboa;5856;170;0;170;5856;6742
Pajares de los Oteros;0;491;0;491;0;10311
San Andrés del Rabanedo;1400;3188;159;3188;1558;77657
Escobar de Campos;1784;33;0;33;1784;1784
Valdepolo;13317;819;0;819;13317;24917
Prado de la Guzpeña;4246;96;0;96;4246;4246
Cubillos del Sil;28867;671;0;671;28867;37941
Pobladura de Pelayo García;6801;116;0;116;6801;6801
Candín;9190;233;0;233;9190;14145
Bercianos del Páramo;12434;229;0;229;12434;12485
Boñar;10037;728;2599;728;12635;21287
Boca de Huérgano;9302;717;0;717;9302;12150
Cubillas de los Oteros;0;282;0;282;0;4657
Urdiales del Páramo;14733;204;0;204;14733;15478
Noceda del Bierzo;10569;281;0;281;10569;14696
Matallana de Torío;15062;341;0;341;15062;16771
Cebanico;5121;187;0;187;5121;5121
Chozas de Abajo;793;1086;0;1086;793;39723
San Emiliano;19100;1263;0;1263;19100;20440
Villasabariego;553;599;0;599;553;19339
Santa Marina del Rey;11147;730;0;730;11147;23282
Oencia;389;126;0;126;389;10575
Berlanga del Bierzo;3553;958;0;958;3553;9603
Corullón;20741;245;0;245;20741;21912
Toreno;27222;636;0;636;27222;34596
Villazala;7847;344;0;344;7847;12815
Villamandos;6902;98;0;98;6902;6902
Valderrey;13434;295;0;295;13434;13874
Benuza;14380;282;0;282;14380;14380
Santa María de la Isla;6923;70;0;70;6923;6923
Sahagún;11312;915;0;915;11312;25041
Cistierna;25673;642;79;642;25753;32967
La Bañeza;11260;756;0;756;11260;40498
Valdevimbre;0;572;0;572;0;18407
La Pola de Gordón;18169;1076;0;1076;18169;41384
La Vecilla;5663;89;0;89;5663;5663
Santiago Millas;12037;163;0;163;12037;12474
Mansilla Mayor;220;355;0;355;220;7145
Campazas;3965;106;0;106;3965;3965
Sobrado;0;169;0;169;0;8050
Valverde-Enrique;3073;127;0;127;3073;5792
Calzada del Coto;2106;240;0;240;2106;6242
Riego de la Vega;8498;319;0;319;8498;18698
Gordoncillo;6359;79;0;79;6359;6359
Regueras de Arriba;4893;71;0;71;4893;5025
Páramo del Sil;25235;1091;553;1091;25788;27625
Brazuelo;12372;592;0;592;12372;13880
Cimanes de la Vega;7941;163;0;163;7941;7941
Roperuelos del Páramo;3351;379;0;379;3351;12228
Vega de Valcarce;10981;614;0;614;10981;11489
Villaturiel;578;745;0;745;578;29838
Joarilla de las Matas;4557;134;0;134;4557;4862
Destriana;5421;161;0;161;5421;8868
Lucillo;16190;351;0;351;16190;16269
Crémenes;8850;737;353;737;9202;10833
Riaño;1536;696;366;696;1901;7369
Maraña;1839;255;0;255;1839;2667
Valdepiélago;7717;200;0;200;7717;10348
Congosto;3335;767;334;767;3669;18823
San Cristóbal de la Polantera;9561;205;0;205;9561;9910
Vallecillo;1314;102;0;102;1314;4592
Castrotierra de Valmadrigal;0;60;0;60;0;3813
Zotes del Páramo;6018;173;0;173;6018;8490
Villaobispo de Otero;11616;255;0;255;11616;12242
Garrafe de Torío;324;655;0;655;324;30442
Val de San Lorenzo;7164;198;0;198;7164;15278
Laguna de Negrillos;14431;274;0;274;14431;16251
Valderrueda;24265;622;0;622;24265;24465
El Burgo Ranero;9744;412;0;412;9744;17941
Villazanzo de Valderaduey;9935;158;0;158;9935;11022
La Ercina;11960;250;0;250;11960;12672
Izagre;3833;115;0;115;3833;5970
Vegacervera;2796;161;904;161;3700;5967
Carrocera;11049;521;155;521;11204;11982
Sancedo;9059;212;0;212;9059;11671
Trabadelo;8914;318;0;318;8914;11105
Castrillo de la Valduerna;2416;60;0;60;2416;2451
Soto y Amío;13333;689;0;689;13333;16730
Carrizo;3728;484;0;484;3728;26096
Las Omañas;7528;136;0;136;7528;7528
Santa Colomba de Curueño;15003;244;0;244;15003;16077
Campo de Villavidel;0;108;0;108;0;4552
Villablino;50822;2331;98;2331;50920;62069
Castrocontrigo;11630;1654;0;1654;11630;21084
Benavides;12891;458;0;458;12891;26413
Gradefes;24585;512;0;512;24585;24585
Luyego;16043;434;0;434;16043;18805
Villafranca del Bierzo;22800;846;0;846;22800;32985
Truchas;14955;432;0;432;14955;16444
Oseja de Sajambre;7174;820;0;820;7174;7545
Arganza;12176;345;0;345;12176;15353
Vegas del Condado;19239;630;0;630;19239;25155
Pozuelo del Páramo;8338;154;0;154;8338;9444
La Robla;17855;2365;0;2365;17855;35711
León;5512;11154;72;11154;5584;162209
San Millán de los Caballeros;3935;124;0;124;3935;3935
Burón;6342;710;272;710;6614;11140
Santa María del Monte de Cea;8570;129;0;129;8570;8570
San Justo de la Vega;17788;647;0;647;17788;23948
Bustillo del Páramo;25163;571;0;571;25163;25574
Santa María de Ordás;10041;141;0;141;10041;10105
Laguna Dalga;4208;235;0;235;4208;7308
Puebla de Lillo;5187;602;0;602;5187;7140
Prioro;7719;238;0;238;7719;8788
Toral de los Guzmanes;11685;138;0;138;11685;11685
Molinaseca;6535;549;683;549;7218;11834
Peranzanes;11306;286;38;286;11344;11704
Cea;10218;183;0;183;10218;11537
Castilfalé;98;89;0;89;98;2684
Matadeón de los Oteros;0;149;0;149;0;5671
Priaranza del Bierzo;6408;304;61;304;6468;7993
Villamanín;11133;1285;0;1285;11133;20591
Murias de Paredes;14950;639;0;639;14950;14950
Valdelugueros;4941;320;0;320;4941;4941
San Adrián del Valle;3093;67;0;67;3093;3228
Valderas;3478;368;0;368;3478;13901
Valdefresno;941;1720;0;1720;941;33335
Igüeña;24416;680;0;680;24416;25932
Sabero;22049;211;0;211;22049;22049
Valverde de la Virgen;1605;997;0;997;1605;34739
Villabraz;5128;155;0;155;5128;5128
Cabañas Raras;9561;351;0;351;9561;24952
Riello;23175;719;0;719;23175;24686
Toral de los Vados;15932;588;377;588;16309;26415
Borrenes;7737;220;61;220;7798;7798
Vegaquemada;13110;234;0;234;13110;13110
Vega de Infanzones;0;344;0;344;0;12264
Santa María del Páramo;3990;338;0;338;3990;17958
Quintana del Marco;6225;102;0;102;6225;6282
Quintana y Congosto;10039;243;0;243;10039;10573
Grajal de Campos;5258;172;0;172;5258;6545
Gordaliza del Pino;0;116;0;116;0;4400
Folgoso de la Ribera;7969;325;0;325;7969;21783
Villamejil;18703;372;0;372;18703;18703
Cuadros;189;708;0;708;189;27926
Ardón;0;554;0;554;0;13132
Mansilla de las Mulas;7;511;0;511;7;19449
Valdefuentes del Páramo;8761;126;0;126;8761;8761
Carracedelo;25731;802;202;802;25933;42401
Villares de Órbigo;2215;311;0;311;2215;10747
Castrillo de Cabrera;6102;147;0;147;6102;6102
Valencia de Don Juan;5207;645;0;645;5207;32202
Vega de Espinareda;10526;3190;0;3190;10526;32421
Fresno de la Vega;0;227;0;227;0;9287
Villaquilambre;438;2251;0;2251;438;91720
Reyero;2954;61;0;61;2954;2954
Villamartín de Don Sancho;2780;36;0;36;2780;2780
Villaselán;6710;98;0;98;6710;6775
Valdesamario;7593;129;0;129;7593;7970
Villagatón;22464;686;0;686;22464;22966
Torre del Bierzo;16194;897;0;897;16194;32692
Santa Elena de Jamuz;10922;368;0;368;10922;16150
Cimanes del Tejar;13252;478;0;478;13252;14120
Palacios de la Valduerna;3097;202;0;202;3097;8932
Bercianos del Real Camino;0;203;0;203;0;6208
La Antigua;11034;292;0;292;11034;12164
Villamontán de la Valduerna;15441;207;0;207;15441;16141
Encinedo;11859;723;36;723;11896;15315
Ponferrada;56853;34498;322;34498;57175;220282
Villamol;5265;74;0;74;5265;5265
Villaornate y Castro;8386;351;0;351;8386;8553
