Melgar de Arriba;0;88;0;88;0;3849
Pollos;718;168;0;168;718;7428
Valverde de Campos;0;394;0;394;0;1987
La Parrilla;178;128;0;128;178;6700
San Martín de Valvení;662;116;0;116;662;2553
Geria;0;252;0;252;0;3676
Valdearcos de la Vega;99;34;0;34;99;1013
Castrillo de Duero;520;170;0;170;520;4077
Viloria;235;95;0;95;235;4919
Camporredondo;283;99;0;99;283;3294
Viana de Cega;866;378;0;378;866;26292
Morales de Campos;0;92;0;92;0;2451
Urones de Castroponce;0;32;0;32;0;2882
Villafrechós;0;303;0;303;0;6620
San Pablo de la Moraleja;181;124;0;124;181;2539
La Pedraja de Portillo;1969;529;0;529;1969;10957
Villalán de Campos;0;58;0;58;0;1389
Mucientes;16;236;0;236;16;7066
Fombellida;712;232;0;232;712;3680
Herrín de Campos;0;126;0;126;0;2868
Corcos;2854;212;0;212;2854;5779
Tordesillas;29438;1928;0;1928;29438;72347
Nava del Rey;1067;393;0;393;1067;14579
Torrescárcela;69;41;0;41;69;1874
Villanueva de Duero;6956;343;0;343;6956;22445
Canillas de Esgueva;676;120;0;120;676;2781
Valladolid;33510;19356;2742;19356;36252;434994
Villavellid;0;86;0;86;0;1856
Barcial de la Loma;0;110;0;110;0;3307
San Pelayo;0;34;0;34;0;1198
Melgar de Abajo;0;77;0;77;0;3539
Laguna de Duero;6240;5996;0;5996;6240;83257
Rueda;3456;551;0;551;3456;17135
Villabáñez;969;145;0;145;969;10713
Villacarralón;0;71;0;71;0;2314
Villafuerte;415;90;0;90;415;2317
Olmedo;3087;1973;0;1973;3087;20065
Cabreros del Monte;0;105;0;105;0;2699
Barruelo del Valle;0;55;0;55;0;1881
Valdunquillo;0;158;0;158;0;4504
Curiel de Duero;892;87;0;87;892;3060
Cogeces de Íscar;495;80;0;80;495;2678
Castronuevo de Esgueva;826;112;0;112;826;6184
Amusquillo;670;66;0;66;670;2571
Quintanilla de Trigueros;0;44;0;44;0;1550
Adalia;0;52;0;52;0;2675
Velilla;0;116;0;116;0;2119
Villardefrades;0;276;0;276;0;2962
Bocigas;34;72;0;72;34;1718
Pedrajas de San Esteban;745;214;0;214;745;24696
La Mudarra;0;110;0;110;0;2396
Pozuelo de la Orden;0;49;0;49;0;2335
Valdestillas;1342;392;0;392;1342;13621
Villagómez la Nueva;0;61;0;61;0;3923
Carpio;887;218;0;218;887;10362
Manzanillo;36;18;0;18;36;648
Nueva Villa de las Torres;135;53;0;53;135;3705
Villalbarba;0;68;0;68;0;3397
Arroyo de la Encomienda;2591;1883;105;1883;2695;67621
Torre de Peñafiel;388;83;0;83;388;2716
Vega de Ruiponce;0;48;0;48;0;3695
Trigueros del Valle;1190;215;0;215;1190;4525
Ceinos de Campos;0;143;0;143;0;4872
Quintanilla del Molar;0;42;0;42;0;1398
Encinas de Esgueva;1363;150;0;150;1363;4833
Villalba de la Loma;0;41;0;41;0;1981
Saelices de Mayorga;0;42;0;42;0;3405
Villafrades de Campos;0;62;0;62;0;4059
Robladillo;0;32;0;32;0;1128
Peñafiel;5068;831;0;831;5068;28037
Villacid de Campos;0;81;0;81;0;2871
Bocos de Duero;369;38;0;38;369;663
Castromembibre;0;70;0;70;0;2379
San Pedro de Latarce;0;164;0;164;0;7107
Berrueces;0;124;0;124;0;3099
Fuensaldaña;0;291;0;291;0;26033
Fompedraza;523;62;0;62;523;2364
Ventosa de la Cuesta;586;56;0;56;586;2330
Moraleja de las Panaderas;564;56;0;56;564;1321
Íscar;2310;465;332;465;2643;32892
Moral de la Reina;0;139;0;139;0;4147
Berceruelo;0;145;0;145;0;1476
Santibáñez de Valcorba;377;79;0;79;377;3821
Santovenia de Pisuerga;4935;390;0;390;4935;17195
Puras;0;26;0;26;0;686
Torrecilla de la Torre;0;16;0;16;0;725
San Miguel del Arroyo;1898;292;0;292;1898;12564
Mota del Marqués;0;390;0;390;0;6035
Pozaldez;431;131;0;131;431;7342
Roales de Campos;0;85;0;85;0;3669
Villavaquerín;106;66;0;66;106;1964
Rubí de Bracamonte;12;54;0;54;12;3250
Castroponce;0;50;0;50;0;3677
Medina de Rioseco;0;656;0;656;0;23021
Valoria la Buena;1236;230;0;230;1236;6281
Aldea de San Miguel;228;207;0;207;228;4421
Vega de Valdetronco;0;85;0;85;0;1956
Piñel de Abajo;169;114;0;114;169;2054
Becilla de Valderaduey;0;173;0;173;0;5894
Tordehumos;0;99;0;99;0;6700
Cervillego de la Cruz;636;65;0;65;636;3276
Fontihoyuelo;0;42;0;42;0;1700
Villaco;538;86;0;86;538;1687
Piñel de Arriba;255;91;0;91;255;2587
Villán de Tordesillas;0;62;0;62;0;2622
Cubillas de Santa Marta;0;137;0;137;0;1970
Bercero;0;356;0;356;0;2670
Renedo de Esgueva;2437;241;0;241;2437;24664
Castrodeza;0;82;0;82;0;7616
San Llorente;310;92;0;92;310;2036
Pozal de Gallinas;2677;161;0;161;2677;9065
Villalón de Campos;0;368;0;368;0;15558
Villalba de los Alcores;0;192;0;192;0;4958
Aguasal;228;92;0;92;228;1227
La Seca;945;222;0;222;945;10926
Urueña;0;438;0;438;0;3129
Castroverde de Cerrato;904;92;0;92;904;2512
Bolaños de Campos;0;119;0;119;0;4947
Santervás de Campos;0;170;0;170;0;5770
Esguevillas de Esgueva;1674;176;34;176;1707;5513
Cistérniga;7090;653;64;653;7155;30342
Mayorga;0;340;0;340;0;13712
La Unión de Campos;0;118;0;118;0;5779
Villasexmir;0;41;0;41;0;1565
Monasterio de Vega;0;31;0;31;0;1644
Peñaflor de Hornija;0;263;0;263;0;4368
Gatón de Campos;0;52;0;52;0;1958
Torrecilla de la Orden;763;117;0;117;763;5916
Velascálvaro;55;30;0;30;55;3035
San Cebrián de Mazote;0;157;0;157;0;3536
Castrillo-Tejeriego;647;114;39;114;687;2990
Rábano;568;113;0;113;568;3312
Mojados;12189;409;0;409;12189;33311
Montemayor de Pililla;659;245;0;245;659;12382
Benafarces;0;62;0;62;0;1921
San Miguel del Pino;1597;65;0;65;1597;3212
Alaejos;919;292;0;292;919;13210
Aldeamayor de San Martín;19384;2012;166;2012;19550;76376
Villanueva de San Mancio;0;282;0;282;0;2498
Piña de Esgueva;146;60;0;60;146;3297
Matapozuelos;3354;1055;0;1055;3354;15637
Villarmentero de Esgueva;531;27;0;27;531;1784
Bahabón;219;55;0;55;219;3346
Campaspero;708;150;63;150;771;9234
Velliza;0;99;0;99;0;4096
Ciguñuela;0;108;0;108;0;3831
Medina del Campo;2343;7720;0;7720;2343;45399
La Zarza;746;64;0;64;746;1854
El Campillo;946;79;0;79;946;5482
Villaverde de Medina;772;172;0;172;772;5614
Castromonte;0;302;0;302;0;6211
Torre de Esgueva;436;150;0;150;436;1762
Santa Eufemia del Arroyo;0;312;0;312;0;2525
Sardón de Duero;1773;162;128;162;1901;7366
Portillo;14;3414;0;3414;14;17241
Langayo;814;90;0;90;814;4657
Cuenca de Campos;0;138;0;138;0;3537
Villanueva de los Infantes;56;33;0;33;56;2063
Fuente-Olmedo;244;60;0;60;244;2187
Villanubla;0;625;0;625;0;16047
Villabrágima;0;156;0;156;0;8155
Zaratán;2597;586;0;586;2597;24375
San Vicente del Palacio;654;136;0;136;654;2778
Salvador de Zapardiel;543;70;0;70;543;3045
Castrobol;0;21;0;21;0;2704
Villabaruz de Campos;0;47;0;47;0;1637
Canalejas de Peñafiel;54;78;0;78;54;4880
Ramiro;80;36;0;36;80;1439
Cabezón de Valderaduey;0;30;0;30;0;1696
Cogeces del Monte;423;124;0;124;423;6334
Tudela de Duero;15764;720;646;720;16409;56508
Serrada;599;236;0;236;599;9794
Muriel;134;77;0;77;134;2911
Casasola de Arión;0;180;0;180;0;5705
Tamariz de Campos;0;192;0;192;0;4150
Bobadilla del Campo;225;119;0;119;225;5382
Traspinedo;10208;223;0;223;10208;24132
Valbuena de Duero;1799;190;0;190;1799;5623
Gallegos de Hornija;0;50;0;50;0;1930
Olmos de Esgueva;0;45;0;45;0;2985
San Salvador;0;34;0;34;0;1187
Villafranca de Duero;175;96;0;96;175;4310
Montealegre de Campos;0;151;0;151;0;3154
Hornillos de Eresma;979;118;0;118;979;2765
Villanueva de la Condesa;0;24;0;24;0;1080
Villagarcía de Campos;0;114;0;114;0;4410
Marzales;0;37;0;37;0;1494
Alcazarén;2003;236;0;236;2003;10164
San Román de Hornija;302;138;0;138;302;4378
Corrales de Duero;89;29;0;29;89;1597
Castrejón de Trabancos;1487;81;0;81;1487;5153
Almenara de Adaja;0;38;0;38;0;563
Villanueva de los Caballeros;0;146;0;146;0;4513
Valdenebro de los Valles;0;529;0;529;0;3990
Fresno el Viejo;707;261;0;261;707;8130
Lomoviejo;703;60;0;60;703;2812
Torrecilla de la Abadesa;792;108;0;108;792;2937
Torrelobatón;0;142;0;142;0;7166
Tiedra;0;198;0;198;0;6765
Olmos de Peñafiel;225;49;0;49;225;1381
Wamba;28;429;0;429;28;2494
Aguilar de Campos;0;125;0;125;0;5374
Quintanilla de Onésimo;3656;269;0;269;3656;13750
