Villarejo de Fuentes;507;639;0;639;507;8117
Retamoso de la Jara;35;67;0;67;35;3626
Membrilla;1638;303;0;303;1638;37030
El Recuenco;0;58;0;58;0;2310
Sigüenza;9976;2394;2376;2394;12352;45756
Santa María del Val;0;47;0;47;0;1216
El Cubillo de Uceda;973;65;0;65;973;1923
Los Pozuelos de Calatrava;269;115;0;115;269;2808
Estriégana;22;54;0;54;22;625
Toledo;64854;8856;1600;8856;66454;254876
Medranda;0;65;0;65;0;2612
Corral de Almaguer;7483;636;0;636;7483;44266
Valdeolivas;1440;404;0;404;1440;4262
Hombrados;310;28;0;28;310;923
Tórtola de Henares;1443;127;0;127;1443;14377
Valdesotos;0;239;0;239;0;833
Almonacid de Zorita;2880;394;0;394;2880;12537
Guadalmez;0;92;0;92;0;7218
Paredes de Sigüenza;293;57;0;57;293;1882
Cabezarados;466;46;0;46;466;2234
Caspueñas;56;43;0;43;56;1474
Alcohujate;0;114;0;114;0;2799
Belmontejo;711;116;0;116;711;4115
Daimiel;10792;1662;68;1662;10860;73203
Villamiel de Toledo;553;100;0;100;553;10541
Navalcán;769;293;0;293;769;17027
Maqueda;1003;211;0;211;1003;6089
Mesegar de Tajo;882;58;0;58;882;4406
Pozorrubio;736;172;0;172;736;6343
Arroba de los Montes;376;50;0;50;376;3462
Orea;58;276;0;276;58;4469
Tartanedo;2623;418;20;418;2643;9598
Taragudo;121;75;0;75;121;2108
Escalonilla;389;291;0;291;389;11850
La Cierva;0;110;0;110;0;1885
Caleruela;200;55;0;55;200;3220
Atanzón;33;174;0;174;33;3069
Tejadillos;447;59;0;59;447;2441
Molinicos;14727;764;0;764;14727;21147
San Pedro Palmiches;482;247;69;247;551;3347
Peñas de San Pedro;7973;1135;0;1135;7973;19031
La Torre de Esteban Hambrán;2628;255;1557;255;4185;15248
Villatoya;1600;534;883;534;2484;4677
Porzuna;3731;379;0;379;3731;29035
Tendilla;0;536;1005;536;1005;5024
Caudete;10816;4557;146;4557;10962;48446
Puebla de Beleña;151;198;0;198;151;1233
Hortezuela de Océn;174;44;68;44;242;1353
Palomares del Campo;1360;1617;0;1617;1360;8522
Talayuelas;10827;1027;0;1027;10827;17081
Alovera;4892;1211;62;1211;4954;62145
Zarzuela de Jadraque;130;26;0;26;130;1086
Montearagón;539;73;0;73;539;4048
Las Ventas con Peña Aguilera;2250;280;0;280;2250;15367
Solana del Pino;953;248;0;248;953;3936
Madrigueras;2746;508;0;508;2746;35458
Aldeanueva de Barbarroya;3628;213;0;213;3628;14181
Castillo de Garcimuñoz;1637;427;0;427;1637;4199
Cardiel de los Montes;2131;147;0;147;2131;12042
Luciana;94;87;0;87;94;5247
Malaguilla;211;324;76;324;287;2294
Erustes;0;108;0;108;0;4506
Burujón;1333;227;0;227;1333;13069
Huérmeces del Cerro;0;34;0;34;0;899
Jadraque;8150;930;0;930;8150;16975
Alcázar de San Juan;9666;3658;0;3658;9666;132935
Villar del Humo;1007;183;0;183;1007;3876
Puerto de San Vicente;289;133;0;133;289;6223
Montesclaros;894;124;0;124;894;6488
Pajaroncillo;369;106;0;106;369;1725
Valmojado;1209;326;0;326;1209;23236
Yeles;3959;412;0;412;3959;53741
Priego;698;933;0;933;698;8265
Torrejoncillo del Rey;236;730;0;730;236;16428
Cuerva;1926;130;0;130;1926;10537
Pozo de Guadalajara;145;216;0;216;145;9883
Yebra;2329;180;0;180;2329;9361
Ruidera;428;296;0;296;428;9857
Auñón;1074;267;0;267;1074;4507
Chillarón de Cuenca;2491;176;0;176;2491;7558
La Guardia;6938;1192;0;1192;6938;28904
Montiel;263;289;0;289;263;15067
Palomera;268;158;0;158;268;1589
Huérguina;781;26;0;26;781;1855
Huelves;711;138;0;138;711;3385
Torrenueva;4443;191;0;191;4443;19647
Tordellego;62;29;0;29;62;899
Fuentenava de Jábaga;1671;440;0;440;1671;11838
Viñuelas;49;93;0;93;49;2511
Cueva del Hierro;0;86;0;86;0;1487
Centenera;81;119;0;119;81;1284
Villapalacios;337;294;0;294;337;7328
Piedrabuena;1980;354;0;354;1980;29577
Mantiel;90;151;34;151;123;1518
Albarreal de Tajo;3177;90;0;90;3177;6906
Villatobas;207;667;0;667;207;19352
Hueva;0;54;38;54;38;2265
Zarzuela;240;256;0;256;240;7074
Torrubia del Castillo;43;19;0;19;43;1432
Sotodosos;411;53;0;53;411;2248
Campillo de Dueñas;814;55;0;55;814;2059
Camarena;8296;356;0;356;8296;31349
El Cardoso de la Sierra;581;958;0;958;581;3517
Mazarambroz;1047;338;0;338;1047;12495
Domingo Pérez;127;137;0;137;127;6961
Carrión de Calatrava;2218;505;0;505;2218;17543
Viana de Jadraque;95;39;28;39;122;1684
Las Valeras;897;691;89;691;986;14214
Chiloeches;11357;847;43;847;11401;82828
Selas;238;74;0;74;238;1642
Hontoba;1283;66;0;66;1283;28326
Mahora;2467;336;0;336;2467;12971
Paracuellos;870;103;0;103;870;3070
El Ballestero;971;244;36;244;1007;7392
Pozuelo de Calatrava;7991;319;0;319;7991;24143
El Robledo;2439;190;0;190;2439;14751
Olmeda de Cobeta;62;55;0;55;62;2082
Cobeja;9489;144;0;144;9489;13946
Mestanza;199;390;0;390;199;7731
Molina de Aragón;7335;685;73;685;7408;24926
